"spec","ACCEPTED_SCIENT_NAME","FAO_E_COMMON_NAME","FAO_F_COMMON_NAME","type","ORDER_","FAMILY_"
143,"Scophthalmus aquosus","Windowpane flounder","Turbot de sable","LR","Pleuronectiformes","Scophthalmidae"
2600,"Euphausiacea",NA,NA,"LR","Euphausiacea",NA
641,"Lycodes reticulatus","Arctic eelpout",NA,"LR","Perciformes","Zoarcidae"
619,NA,NA,NA,NA,NA,NA
323,"Artediellus",NA,NA,"LR","Scorpaeniformes","Cottidae"
156,"Chlorophthalmus agassizi",NA,NA,"LR","Aulopiformes","Chlorophthalmidae"
122,"Tautogolabrus adspersus","Cunner","Tanche-tautogue","LR","Perciformes","Labridae"
620,"Lycodes lavalaei",NA,NA,"LR","Perciformes","Zoarcidae"
63,"Osmerus mordax","Rainbow smelt","Eperlan arc-en-ciel","LR","Osmeriformes","Osmeridae"
142,"Hippoglossina oblonga",NA,NA,"LR","Pleuronectiformes","Paralichthyidae"
314,"Icelus spatula",NA,NA,"LR","Scorpaeniformes","Cottidae"
351,"Agonidae",NA,NA,"LR","Scorpaeniformes","Agonidae"
646,"Melanostigma atlanticum","Atlantic soft pout",NA,"LR","Perciformes","Zoarcidae"
17,"Microgadus tomcod","Atlantic tomcod","Poulamon atlantique","LR","Gadiformes","Gadidae"
149,"Parasudis truculenta",NA,NA,"LR","Aulopiformes","Chlorophthalmidae"
503,"Liparis atlanticus",NA,NA,"LR","Scorpaeniformes","Liparidae"
603,"Lycenchelys verrillii","Wolf eelpout",NA,"LR","Perciformes","Zoarcidae"
307,"Cottunculus microps","Polar sculpin",NA,"LR","Scorpaeniformes","Psychrolutidae"
221,"Centroscyllium fabricii","Black dogfish","Aiguillat noir","LR","Squaliformes","Etmopteridae"
158,"Maurolicus muelleri","Silvery lightfish",NA,"LR","Stomiiformes","Sternoptychidae"
512,"Liparis gibbus","Variegated snailfish",NA,"LR","Scorpaeniformes","Liparidae"
720,"Scomberesox saurus","Atlantic saury","Balaou atlantique","LR","Beloniformes","Scomberesocidae"
505,"Liparis fabricii",NA,NA,"LR","Scorpaeniformes","Liparidae"
704,"Zenopsis conchifera",NA,NA,"LR","Zeiformes","Zeidae"
626,"Eumesogrammus praecisus","Fourline snakeblenny","Quatre-lignes atlantique","LR","Perciformes","Stichaeidae"
2532,"Chaceon quinquedens",NA,NA,"SR","Decapoda","Geryonidae"
4320,"Pectinidae","Scallops nei","Peignes nca","LR","Ostreoida","Pectinidae"
51,"Anarhichas minor","Spotted wolffish","Loup tacheté","LR","Perciformes","Anarhichadidae"
303,"Myoxocephalus aenaeus",NA,NA,"LR","Scorpaeniformes","Cottidae"
412,"Trachyrincus murrayi",NA,NA,"LR","Gadiformes","Macrouridae"
621,"Pholis gunnellus","Rock gunnel",NA,"LR","Perciformes","Pholidae"
500,"Liparis",NA,NA,"LR","Scorpaeniformes","Liparidae"
520,"Careproctus reinhardti",NA,NA,"LR","Scorpaeniformes","Liparidae"
604,"Nemichthys scolopaceus","Slender snipe eel",NA,"LR","Anguilliformes","Nemichthyidae"
52,"Anarhichas denticulatus","Northern wolffish","Loup gélatineux","LR","Perciformes","Anarhichadidae"
414,"Coryphaenoides rupestris","Roundnose grenadier","Grenadier de roche","LR","Gadiformes","Macrouridae"
4512,"Loligo pealeii",NA,NA,"LR","Teuthida","Loliginidae"
4514,NA,NA,NA,NA,NA,NA
159,"Stomias boa","Boa dragonfish",NA,"LR","Stomiiformes","Stomiidae"
240,"Petromyzon marinus","Sea lamprey","Lamproie marine","LR","Petromyzontiformes","Petromyzontidae"
741,"Sternoptychidae","Hatchetfishes nei","Haches d'argent nca","LR","Stomiiformes","Sternoptychidae"
816,"Symphurus diomedeanus",NA,NA,"LR","Pleuronectiformes","Cynoglossidae"
637,"Foetorepus agassizii",NA,NA,"LR","Perciformes","Callionymidae"
742,"Dibranchus atlanticus",NA,NA,"LR","Lophiiformes","Ogcocephalidae"
341,"Ulcina olrikii","Arctic alligatorfish",NA,"LR","Scorpaeniformes","Agonidae"
