"year","area.occupied","D75","D95","Gini"
"1970",28.6443523809524,15.214,26.763,0.558880916809651
"1971",24.2593333333333,7.363,21.63,0.750037119095042
"1972",31.0311547619048,16.206,28.829,0.509413241503737
"1973",28.86885,10.182,26.488,0.653774719523046
"1974",30.80865,5.55,23.582,0.761650213735434
"1975",25.7284166666667,15.17,29.125,0.543384972924257
"1976",24.1320166666667,16.134,28.772,0.505438334148632
"1977",25.9963714285714,10.577,27.79,0.657910877302821
"1978",21.0306785714286,12.837,24.699,0.582999310570709
"1979",20.0778619047619,14.46,31.38,0.546831311677527
"1980",22.6839261904762,16.045,29.838,0.538993197082238
"1981",24.1210619047619,13.275,24.807,0.607362042204962
"1982",28.8757357142857,15.35,30.325,0.537068722810075
"1983",26.9223880952381,12.347,30.072,0.558094000849246
"1984",26.1765857142857,13.308,27.685,0.589342866613578
"1985",26.5197714285714,11.544,26.886,0.584568350953611
"1986",24.6278904761905,16.532,30.709,0.554573163300022
"1987",21.3274952380952,15.866,32.886,0.55468275506645
"1988",23.2685130952381,14.183,29.175,0.567878181376176
"1989",23.2270523809524,8.087,25.355,0.690562046290325
"1990",15.7494511904762,10.942,25.741,0.715093045193991
"1991",24.3688416666667,12.254,26.058,0.616878733068823
"1992",21.660925,11.613,28.352,0.61504915705355
"1993",24.0102765873016,10.466,26.519,0.617460455845519
"1994",26.2521452380952,13.857,28.166,0.581809109297643
"1995",23.3019416666667,13.747,26.906,0.558359296065451
"1996",24.6225607142857,13.045,24.051,0.562100404963757
"1997",29.657608974359,10.253,25.219,0.656590533901581
"1998",29.0286944444444,10.933,24.631,0.616621520309048
"1999",28.6999034632035,11.066,25.114,0.620738639792246
"2000",25.6822892135642,10.932,26.643,0.599078593200204
"2001",27.7997792207792,9.27,25.913,0.616924465613433
"2002",26.4597157647908,14.032,28.976,0.506730738745475
"2003",26.6517582251082,10.587,28.198,0.616367352144397
"2004",22.0468115079365,8.589,25.755,0.657699218003842
"2005",26.8932194444444,9.441,23.547,0.664518378377483
"2006",26.3199141774892,10.36,23.648,0.676204427610411
"2007",28.8802238095238,8.497,22.097,0.662943475337252
"2008",31.3325583333333,12.773,29.66,0.531025614822209
"2009",29.2463158730159,4.925,20.179,0.794035657091508
"2010",27.4092222943723,13.21,28.556,0.539721581846081
"2011",29.1498117216117,10.02,29.022,0.643679969332563
"2012",29.3370150793651,9.725,24.856,0.608827458347455
"2013",28.8743598484848,15.432,31.089,0.548638100599814
"2014",28.4176098124098,15.198,31.384,0.546281735500851
"2015",25.3827996031746,16.756,31.085,0.514122332191957
"2016",29.0765121212121,10.565,25.287,0.665761081622671
"2017",26.7084904761905,10.306,23.122,0.642020284243267
"2018",10.629369047619,6.021,11.201,0.537701537952864
"2019",24.8494515873016,9.655,20.81,0.660406418737981
"2020",26.4123654761905,8.646,21.147,0.724492703425692
