"salinity","cum.catch","cum"
30,0,0
30.01,0,0
30.02,0,0
30.03,0,0
30.04,0,0
30.05,0,0
30.06,0,0
30.07,0,0
30.08,0,0
30.09,0,0.0112665455825416
30.1,0,0.0112665455825416
30.11,0,0.0112665455825416
30.12,0,0.0112665455825416
30.13,0,0.0112665455825416
30.14,0,0.0112665455825416
30.15,0,0.0112665455825416
30.16,0,0.0112665455825416
30.17,0,0.0112665455825416
30.18,0,0.0112665455825416
30.19,0,0.0112665455825416
30.2,0,0.0112665455825416
30.21,0,0.0112665455825416
30.22,0,0.0112665455825416
30.23,0,0.0112665455825416
30.24,0,0.0112665455825416
30.25,0,0.0112665455825416
30.26,0,0.0112665455825416
30.27,0,0.0112665455825416
30.28,0,0.0112665455825416
30.29,0,0.0112665455825416
30.3,0,0.0112665455825416
30.31,0,0.0112665455825416
30.32,0,0.0112665455825416
30.33,0,0.0112665455825416
30.34,0,0.0112665455825416
30.35,0,0.0112665455825416
30.36,0,0.0143431244015416
30.37,0,0.0143431244015416
30.38,0,0.0143431244015416
30.39,0,0.0143431244015416
30.4,0,0.0143431244015416
30.41,0,0.0143431244015416
30.42,0,0.0143431244015416
30.43,0,0.0143431244015416
30.44,0,0.0143431244015416
30.45,0,0.0143431244015416
30.46,0,0.0285865448598748
30.47,0,0.0285865448598748
30.48,0,0.0285865448598748
30.49,0,0.0285865448598748
30.5,0,0.0285865448598748
30.51,0,0.0285865448598748
30.52,0,0.0285865448598748
30.53,0,0.0285865448598748
30.54,0,0.0285865448598748
30.55,0,0.0285865448598748
30.56,0,0.0482424650923747
30.57,0,0.0482424650923747
30.58,0,0.0482424650923747
30.59,0.0638323381897881,0.0882059420433433
30.6,0.0638323381897881,0.0882059420433433
30.61,0.0638323381897881,0.101159315563022
30.62,0.0638323381897881,0.101159315563022
30.63,0.0638323381897881,0.101159315563022
30.64,0.0638323381897881,0.101159315563022
30.65,0.0638323381897881,0.101159315563022
30.66,0.0638323381897881,0.110944545417897
30.67,0.0638323381897881,0.110944545417897
30.68,0.0638323381897881,0.110944545417897
30.69,0.0638323381897881,0.110944545417897
30.7,0.0638323381897881,0.133548853685272
30.71,0.0638323381897881,0.133548853685272
30.72,0.0638323381897881,0.133548853685272
30.73,0.0638323381897881,0.133548853685272
30.74,0.0638323381897881,0.133548853685272
30.75,0.0638323381897881,0.133548853685272
30.76,0.0638323381897881,0.133548853685272
30.77,0.0638323381897881,0.133548853685272
30.78,0.0638323381897881,0.133548853685272
30.79,0.119486489955926,0.144744182165522
30.8,0.119486489955926,0.144744182165522
30.81,0.119486489955926,0.144744182165522
30.82,0.119486489955926,0.151719075599195
30.83,0.119486489955926,0.151719075599195
30.84,0.119486489955926,0.151719075599195
30.85,0.119486489955926,0.172084318170519
30.86,0.119486489955926,0.172084318170519
30.87,0.119486489955926,0.175598882168613
30.88,0.119486489955926,0.175598882168613
30.89,0.119486489955926,0.175598882168613
30.9,0.119486489955926,0.175598882168613
30.91,0.204454660591251,0.194827499787363
30.92,0.204454660591251,0.194827499787363
30.93,0.204454660591251,0.215192742358688
30.94,0.204454660591251,0.225063432736313
30.95,0.204454660591251,0.225063432736313
30.96,0.204454660591251,0.239905076853896
30.97,0.204454660591251,0.239905076853896
30.98,0.204454660591251,0.243223793820688
30.99,0.204454660591251,0.253906359164438
31,0.204454660591251,0.275356950374688
31.01,0.204454660591251,0.281777172146281
31.02,0.204454660591251,0.304381480413656
31.03,0.204454660591251,0.332334193063135
31.04,0.204454660591251,0.332334193063135
31.05,0.204454660591251,0.358378287371198
31.06,0.333242130654223,0.418579935235259
31.07,0.333242130654223,0.441184243502634
31.08,0.333242130654223,0.454806650828984
31.09,0.333242130654223,0.454806650828984
31.1,0.333242130654223,0.47882753200376
31.11,0.333242130654223,0.492907153126823
31.12,0.333242130654223,0.492907153126823
31.13,0.397393099483894,0.51933581978726
31.14,0.397393099483894,0.549090690340628
31.15,0.397393099483894,0.557333746216787
31.16,0.397393099483894,0.568600291799328
31.17,0.556708419425128,0.612576852464432
31.18,0.556708419425128,0.633668509479132
31.19,0.556708419425128,0.651290857727104
31.2,0.556708419425128,0.651290857727104
31.21,0.556708419425128,0.654730643767791
31.22,0.556708419425128,0.672267143036091
31.23,0.556708419425128,0.681112307140716
31.24,0.556708419425128,0.69496759439156
31.25,0.556708419425128,0.69496759439156
31.26,0.556708419425128,0.704838284769185
31.27,0.556708419425128,0.760526497906153
31.28,0.556708419425128,0.779742906878796
31.29,0.556708419425128,0.786739987178952
31.3,0.556708419425128,0.800046665351809
31.31,0.556708419425128,0.882740403677777
31.32,0.704269809095143,0.929052885298048
31.33,0.854521857501943,0.984940506321433
31.34,0.854521857501943,0.993486558596433
31.35,0.854521857501943,1.0106427585385
31.36,0.854521857501943,1.03830348106858
31.37,0.933238798440527,1.09078951893972
31.38,1.02339002748461,1.15659732622682
31.39,1.13540639910551,1.19749730807293
31.4,1.13540639910551,1.25550618135743
31.41,1.24809543541061,1.29510645108671
31.42,1.24809543541061,1.33974105777699
31.43,1.24809543541061,1.41115756795507
31.44,1.24809543541061,1.46322374401231
31.45,1.29238509435427,1.46767837376065
31.46,1.29238509435427,1.55498698031512
31.47,1.38253632339835,1.65211428876254
31.48,1.38253632339835,1.68029991370792
31.49,1.38253632339835,1.69048253499358
31.5,1.38253632339835,1.73086873631601
31.51,1.41673601207907,1.76876905381359
31.52,1.41673601207907,1.77755724423638
31.53,1.41673601207907,1.83097576832331
31.54,1.55672107320077,1.88580344147426
31.55,1.55672107320077,1.97879089976546
