"year","n","n.var","b","b.var"
1970,133.408880586758,1162.07431947865,33.6800320114818,46.604589606838
1971,135.685888007986,2967.35854609669,37.3602564723152,126.853677998713
1972,147.878367237461,5826.32658695418,46.0409250484016,430.503048110314
1973,141.546070609718,8573.79270040816,39.014013057393,522.492562764068
1974,60.7975223268106,287.567675016108,16.9981255515647,11.8273003525577
1975,148.523574449636,12558.9180954307,48.5703899397803,1093.1447364617
1976,40.7478643846132,194.672035573118,16.715687137084,27.9324272935756
1977,94.8038403063714,1412.7834418591,34.8097995966603,187.128569147947
1978,133.218361485475,6754.74135808365,55.5439793858082,1121.67285822953
1979,27.0867795117131,26.8236796219975,14.7659095410098,10.7942654721166
1980,25.2812263723113,99.1658878803338,8.14061936717793,8.91181494123297
1981,29.002637747362,180.026365566286,11.7533729095765,24.2134305674909
1982,71.5504599686204,890.187159552978,25.070867062535,107.441822919675
1983,102.585261785943,4230.68746489902,33.2139301560831,525.993738126537
1984,228.094491545788,1300.01640552911,39.3551852890988,81.7722953224069
1985,56.9431707090366,156.143450974437,18.1856259262919,32.4723197754096
1986,91.8589994206017,600.3219065827,35.9255736242706,97.8888394834886
1987,63.8467519009512,702.947480162632,25.3707337033329,145.141968833083
1988,127.176502337267,845.168135917526,35.5362708223413,59.4577661718926
1989,223.16040615393,8192.89460702058,36.3207300667207,47.9077146736291
1990,121.555994551128,818.550586132621,24.7575163376439,38.5541565394396
1991,165.542027211413,2971.18864919128,25.1255416136977,56.2792802687831
1992,171.271439750248,6766.71143503226,39.3750856321508,358.234119440139
1993,104.934728102654,803.147640838271,27.6722306119466,107.371419904068
1994,70.4930676564206,447.396625187395,16.1015895126943,30.465009757398
1995,71.3492743067959,754.519816086573,22.1526751437014,79.223526381603
1996,76.9428845198529,516.753175472683,22.0615252861848,39.6677030945474
1997,160.702709869865,8616.65943894424,38.286643591667,253.301040687469
1998,43.1915394285671,381.222514657605,11.4613181342192,16.1003475218948
1999,121.076115366554,1632.46007756505,28.5296819670581,55.4997733371129
2000,77.7409503430444,714.916603953248,19.32634826836,60.1341526050486
2001,103.994207656333,2909.46522848515,33.7200270120621,279.7813821564
2002,48.7234705224206,261.823861056063,12.4908916278363,16.1647799827904
2003,123.292427034868,1313.23633190796,21.3386927234919,29.2098683882763
2004,60.8103997619001,271.379718593969,14.7215482492613,17.4239471310698
2005,145.210359330948,1398.73291568766,36.3921966484199,158.211540167953
2006,244.043183847978,4384.3718167648,44.0177304021206,208.77741411122
2007,161.648477685413,2494.13823581124,21.7609478894523,40.4445450229646
2008,477.834355654757,29293.1872406614,78.0543148202035,750.957800386828
2009,595.531839507741,25477.5012110893,97.9584647802401,510.792361062983
2010,334.344689673024,10627.3925484036,44.6136338415373,125.385807090101
2011,307.10093900628,14380.9769945539,62.2982690333798,412.621426151445
2012,292.23233409963,10742.3345202177,54.5008696676299,329.27412157884
2013,135.159525739338,1029.20095921835,24.4327203287098,21.7161980179008
2014,153.273038142923,2460.81113133314,31.2381266676501,109.174654751196
2015,204.298693756878,3229.86374325644,45.1667150515488,199.738993787283
2016,498.036951489906,53620.7593994988,94.2685692832747,1708.03543018218
2017,179.583865452496,7891.13558710589,40.1701722404352,455.464571243643
2018,65.8740732177072,380.373960270726,15.3920944781073,19.2605864495319
2019,182.039808483749,2351.11668066666,31.6521298182432,60.6680550583593
2020,98.3895428827268,411.118110283833,20.3817344374202,19.2348315002088
