"stratum","mean.n","slope.glm.poisson","slope.glm.poisson.stderr","slope.glm.nb","strat.quan95","strat.quan75","strat.median.top25"
"440",1.93037533140181,0.268766547497131,0.021253742464617,1.75804809172679,0,0,0
"446",0.35440610190009,-0.0651255555255477,0.0609362710250844,-1.31008996058441,0,0,0
"450",1.04961302091618,0.0915083307105443,0.0373820906104587,-1.12102759471277,5.11695906432749,0,0
"451",1.30122559790234,0.489978421650644,0.048466315832216,-1.15733139853497,2.95233918128654,0,0
"452",2.41017202909897,-0.110822453939335,0.0343818635561716,-1.12431736058282,4.97892156862745,0,0
"453",4.68201176777215,0.381618184689676,0.0272052602566468,-1.19914156596412,11.0815273477812,0.972222222222222,0
"454",1.64610216254214,-0.129577124872792,0.0356919132222902,-1.47441553336417,9.34971910112359,0,0
"455",1.0335184271803,-0.00399876160767257,0.028213473552865,-1.36212340108101,4.10588235294117,0,0
"456",1.50288158921887,-0.150348985705979,0.0293773019872326,-1.58991358738405,8.75,0,0
"457",0.390160967867055,0.0263751279744378,0.0645998354870596,-1.09879221138971,2.31824712643678,0,0
"458",0.0525284076987844,-0.197533357787365,0.132152747708967,-1.66930965542975,0,0,0
"459",2.16734805149983,-0.0651934711621616,0.0282673625179748,-1.52826535358813,13.9100897729841,0,0
"460",4.91293062092766,-0.0660122738444768,0.0266845768763623,-1.42707123581024,17.6779661016949,7.69230769230769,5.47514619883041
"461",5.64636283761424,-0.0346250939949025,0.0270726554920644,-1.3842068836453,17.8362728431789,7.82147315855181,6.92090395480226
"462",8.70663084238263,-0.0864278965455953,0.0234642461761833,-1.47235754649458,26.3529411764705,12.0078125,9.21052631578947
"463",1.04797811679607,-0.0951602181575446,0.0461736230185121,-1.53760417672944,4.10807113543092,0,0
"464",2.78190779642254,0.114966334451792,0.0248796693830942,-1.17663223812609,10.051724137931,1,0
"465",5.09314988037688,-0.107119566830749,0.0233458441071803,-1.40425844850703,23.3771129141312,4.11764705882353,1.10108481262328
"466",1.84750866443515,-0.221433491980514,0.0389504672687165,-1.7404123892827,9.68432203389829,0,0
"470",11.9355595958714,-0.057839916176205,0.0244076105441498,-1.38485419737726,34.8378527711663,16.8095012626263,12.8333333333333
"471",9.03273463134675,-0.00586510300439891,0.0255977229393219,-1.31729864309812,29.2725791433892,12.6388888888889,10.1744186046512
"472",2.49698283485159,-0.099074206579858,0.0310299357400865,-1.37860383195889,12.7955882352941,1.96629213483146,0
"476",8.24969824612289,0.0105978569375721,0.0237859167439006,-1.07099320941931,39.5218390804594,7.82147315855181,9.26470588235294
"477",1.47470208119358,-0.0470140418023936,0.0320328676003464,-1.56204257595085,7.6854990583804,0,0
"478",1.09324067699073,-0.229389972909183,0.0500714692315342,-1.80161900116036,5,0,0
"480",1.09523216586142,0.0281658636276324,0.0299488598007859,-0.841431861163794,2.05531417112299,0,0
"481",5.634890060653,0.0357509560347777,0.0229514575368979,-1.37139804921198,23.1039325842697,3,1.09375
"482",1.46243323739735,-0.0491392498644789,0.0360098497544127,-1.37681784103129,7.396108615222,1.08386671686747,0
"483",0.534062814167802,0.0643348367146799,0.0553345834995662,-1.15761797362073,2.85523255813953,0,0
"484",5.71992645281317,-0.0210108791207354,0.0251439999069847,-1.35794557765523,23.95625,8.06976744186047,5.14705882352941
"485",7.17492995933167,0.216401954708446,0.0236300963081189,-1.24265007131334,29.6735632183907,5.05780346820809,3.05232558139535
"490",2.24597491770983,-0.0742077298449596,0.0304662433678544,-1.40464342873189,12.9121951219512,1.4064558629776,0
"491",1.22593710428995,0.0160280259617274,0.0350265173394368,-1.16639140762531,4.91709666322668,1.00574712643678,0.986111111111111
"492",1.9334263998921,0.0177234947873284,0.0307200842236304,-1.21569441103018,11.8410778899257,2.03204692281537,1.00013062930669
"493",2.32528048928115,-0.00341938251732165,0.0298948121598968,-1.16904604814328,9.02694633756984,2.01149425287356,0.994318181818182
"494",6.11905883453684,0.0379562921017356,0.0259468010931827,-1.14435752183351,31.7267335766423,4.74962940355773,2.94943820224719
"495",2.79906776709003,0.102250986692854,0.0304157433127948,-0.961170297056872,8.8,1.00574712643678,0
