"year","area.occupied","D75","D95","Gini"
"1970",4.7273,5.759,9.831,0.795393009482956
"1971",0.757,1.023,1.023,0.953033936043208
"1972",0.2046,1.023,1.023,0.959106172049888
"1973",0.583166666666667,0.811,0.811,0.959933637553357
"1974",7.11331666666667,5.412,10.36,0.755875529005814
"1975",0.787,3.148,3.148,0.874160537256156
"1976",0.163666666666667,0.491,0.491,0.980372561560601
"1978",1.57808333333333,3.148,4.171,0.847404885302611
"1979",1.13891666666667,1.947,2.783,0.925183094133081
"1980",2.53691666666667,4.704,6.628,0.844985835379033
"1981",0.796683333333333,1.023,1.368,0.94841599733226
"1982",6.14556666666667,5.955,9.528,0.805282942693431
"1983",2.72533333333333,1.086,6.034,0.872197181131858
"1984",1.90116666666667,1.023,2.6,0.924354086236371
"1985",5.06616666666667,6.529,9.37,0.798612438188252
"1986",4.09646666666667,4.171,8.593,0.790406755851595
"1987",3.44416666666667,3.177,8.169,0.873017521510676
"1988",4.54141666666667,7.073,11.193,0.742975152260928
"1989",2.55033333333333,2.712,8.115,0.857003652943705
"1990",2.65043333333333,4.171,7.359,0.838937456153636
"1991",4.60174166666667,7.073,11.942,0.72432894868196
"1992",2.92808333333333,1.023,8.096,0.882745741768508
"1993",7.57252222222222,11.669,17.969,0.678447640218629
"1994",8.37621428571429,5.872,15.099,0.741562958724591
"1995",7.05795,11.344,14.782,0.642506101702562
"1996",10.5078333333333,5.759,14.457,0.735014643051669
"1997",4.87097619047619,7.533,11.674,0.740223798166539
"1998",6.287625,3.681,12.162,0.790768631969126
"1999",5.93950833333333,5.299,13.593,0.773459217808597
"2000",4.90799603174603,10.493,14.957,0.65395186026541
"2001",3.67761666666667,9.096,11.851,0.717842768833185
"2002",5.64498333333333,4.171,6.972,0.818447603308947
"2003",4.5393126984127,7.997,9.832,0.78044057558339
"2004",4.69165555555556,4.736,11.147,0.764408938594479
"2005",5.99192261904762,8.417,12.942,0.74568190351129
"2006",7.16271666666667,8.096,10.869,0.761419851500869
"2007",5.1573,4.302,7.441,0.81723503478162
"2008",7.1725,4.492,12.991,0.795315570523483
"2009",6.94970555555556,8.783,12.246,0.756564587455641
"2010",5.11270454545455,4.171,10.515,0.7740747218019
"2011",7.96342637362637,8.096,12.949,0.738583892781348
"2012",6.19302222222222,4.948,9.978,0.77106010691193
"2013",5.49016666666667,3.148,8.974,0.80388552262967
"2014",4.98715909090909,4.171,7.481,0.820351141949006
"2015",6.07846984126984,7.113,16.755,0.718121475497955
"2016",4.05334199134199,4.171,8.629,0.815512086220874
"2017",4.53508333333333,8.096,10.553,0.769835556681334
"2018",1.9283619047619,1.619,5.361,0.796363197190996
"2019",5.27404126984127,3.148,12.476,0.817127450549056
"2020",6.17578214285714,4.948,13.388,0.759940057975217
