"year","area.occupied","D75","D95","Gini"
"1970",5.13928571428571,2.571,9.609,0.847558866572161
"1971",4.8155,3.571,5.337,0.867960138684557
"1972",4.01461904761905,1.616,4.977,0.898905902262165
"1973",7.23923333333333,2.913,8.681,0.84548982334764
"1974",4.05466666666667,2.571,5.996,0.875622194327205
"1975",4.6385,1.616,4.339,0.892930016059585
"1976",2.43675,1.616,4.164,0.913976991306553
"1977",4.1426619047619,1.616,4.813,0.897007377505916
"1978",5.37316666666667,3.005,7.754,0.881392725051455
"1979",7.92721428571429,1.613,11.446,0.847662169579078
"1980",7.92229523809524,3.065,8.802,0.847654849412935
"1981",4.66771428571429,2.033,8.258,0.850768350626687
"1982",7.38849285714286,1.616,11.427,0.859327864347504
"1983",3.88557142857143,3.738,7.744,0.843881109831468
"1984",5.21792857142857,5.61,9.846,0.807311935745902
"1985",6.18659523809524,6.886,9.713,0.781961976071557
"1986",6.30256904761905,5.495,10.712,0.80663261498179
"1987",4.40340476190476,2.801,9.123,0.843661092115014
"1988",6.42683214285714,3.065,9.626,0.841529193031438
"1989",5.54830238095238,8.301,12.384,0.771607523920327
"1990",6.04609801587302,3.307,14.546,0.795670458853867
"1991",7.07662142857143,7.058,12.921,0.808590412833353
"1992",7.29053333333333,3.885,12.503,0.837910316866971
"1993",5.47050238095238,4.379,9.04,0.85639749297178
"1994",5.32112142857143,4.215,10.525,0.823406183322895
"1995",7.56562380952381,8.799,16.46,0.749146079337669
"1996",5.74715833333333,3.607,8.994,0.877718367187102
"1997",5.1578445054945,4.322,6.494,0.866306662369189
"1998",6.54342142857143,5.629,8.325,0.808827237183285
"1999",3.13771818181818,0.491,5.446,0.939081847516917
"2000",4.16921266233766,1.075,4.405,0.939565566033036
"2001",4.10841937229437,2.177,6.019,0.90944042075432
"2002",3.49199480519481,7.392,11.116,0.758582856460417
"2003",7.21421414141414,3.437,12.463,0.843476969219941
"2004",4.82049325396825,1.219,10.22,0.896995426955924
"2005",5.27243888888889,5.829,7.962,0.841135227061638
"2006",2.83420714285714,0.908,2.748,0.948547181191228
"2007",2.92359047619048,3.749,5.273,0.866188141978918
"2008",3.181175,0.886,4.471,0.929962010605584
"2009",2.9896869047619,1.678,4.03,0.917707515464412
"2010",2.79195833333333,2.953,6.342,0.907933428612001
"2011",5.90865952380952,6.863,11.739,0.784356680403081
"2012",5.31900238095238,3.334,4.573,0.893536626451404
"2013",3.68969285714286,2.902,4.087,0.899771771451215
"2014",3.49836349206349,2.169,7.526,0.880265109325086
"2015",4.63639285714286,7.581,11.908,0.814214910171519
"2016",2.46664285714286,4.73,6.435,0.846172362591153
"2017",3.33790952380952,3.114,7.618,0.861539613215447
"2018",1.2475,0.655,1.697,0.863176854712356
"2019",1.99918253968254,3.131,5.565,0.879766785421077
"2020",1.23133333333333,0.655,1.239,0.966036678357528
