"temperature","cum.catch","cum"
-1,0,0
-0.9,0,0
-0.8,0,0
-0.7,0,0.00976986357805341
-0.6,0,0.00976986357805341
-0.5,0,0.0419663281205758
-0.4,0,0.0814261956070441
-0.3,0,0.0927745960950887
-0.2,0,0.115656270763339
-0.1,0,0.155101917196564
0,0,0.238231083929477
0.1,0.0825407836144049,0.306819393019508
0.2,0.271574686798126,0.397577139027861
0.3,0.440662669933063,0.524619140544008
0.4,0.694051962094918,0.610743667405738
0.5,1.17980188888124,0.939262440744405
0.6,1.92269861856574,1.24932956679832
0.7,2.41974692540561,1.69906722666587
0.8,3.33836974763797,2.30938207852685
0.9,3.75442814153678,2.79625012964033
1,4.40247955627081,3.37738642761489
1.1,5.24194916689746,4.29617446247878
1.2,5.57524522422853,5.04327590320481
1.3,6.17312843437951,6.04821814291416
1.4,7.0434435497925,6.72161938152329
1.5,7.95333280930886,7.60479146573269
1.6,8.13370768456643,8.4430790447662
1.7,9.02612462172967,9.09616642302804
1.8,9.65081984206655,9.79157834758376
1.9,10.1357397658444,10.3973734947767
2,10.8603341701672,11.1443292374263
2.1,11.3215023864979,11.8887470130369
2.2,12.4250494413907,13.2137972888811
2.3,14.4349671666743,14.431387276332
2.4,15.6427589889434,15.4023462100184
2.5,16.9377492670069,16.525433861914
2.6,18.4264644901382,17.7460487012493
2.7,19.3243152186236,18.6572348043828
2.8,21.0996694985301,19.6732577332529
2.9,22.527564743422,20.4945970319483
3,23.9471805967194,21.528312862584
3.1,24.9522678780175,22.5853749238331
3.2,26.1491170358081,23.5103513346649
3.3,26.996587853555,24.4996139320332
3.4,27.7210454967956,25.2823136117383
3.5,29.5189392339157,26.4201392690923
3.6,30.0701617509615,27.2872829719505
3.7,31.6488385507942,28.4046988414888
3.8,32.432734599388,29.3205443526696
3.9,33.1738784622806,30.0364286345969
4,33.6954506296383,31.0283567313782
4.1,33.9755933982428,31.6913112827757
4.2,34.7824597138923,32.6529787389573
4.3,35.3676138863077,33.4559242580499
4.4,36.3612787452506,34.0616354487001
4.5,37.2671261677405,35.233999168592
4.6,37.9087785314335,35.9182552186328
4.7,38.8182349421244,36.7941094027907
4.8,39.6333783119971,37.4699388693113
4.9,40.4099210031503,38.5085052657298
5,41.2485280616309,39.6805777910876
5.1,42.3290405841921,40.4996363729784
5.2,43.528540582041,42.0271510712538
5.3,44.3702120460928,43.1164760620004
5.4,45.5014286031576,44.0633093174563
5.5,46.4701139136564,45.4180246332936
5.6,47.1217093550772,46.4321258915547
5.7,48.5904339372859,47.7617304089106
5.8,49.1821994139421,48.6452142697044
5.9,50.8779960797225,49.8387207615379
6,52.4431372249563,50.9121245890559
