"year","area.occupied","D75","D95","Gini"
"1970",9.88922619047619,3.734,15.708,0.832489508089121
"1971",6.8646,2.357,5.057,0.886584404664564
"1972",5.63206666666667,3.553,11.546,0.837086033573249
"1973",4.57166666666667,1.437,1.437,0.930133482180224
"1974",4.731,4.404,7.2,0.839436297448936
"1975",3.69633333333333,2.392,6.435,0.881774525567835
"1976",1.93108333333333,1.288,3.718,0.936062432101399
"1977",2.1735,1.437,3.622,0.918116710895044
"1978",0.738833333333333,0.811,0.811,0.965363765548432
"1979",1.044,0.584,0.584,0.966096458527942
"1980",0.177666666666667,0.533,0.533,0.978693636072913
"1981",0.428428571428571,0.584,0.584,0.975932759325221
"1982",3.02597619047619,2.433,4.697,0.90011312618802
"1983",5.11633333333333,7.266,11.273,0.785901908122212
"1984",9.77736904761905,1.92,8.154,0.886613290506303
"1985",2.10846666666667,1.297,3.413,0.911782199081911
"1986",8.71032142857143,3.148,4.034,0.850648086188774
"1987",5.83129523809524,1.437,3.736,0.924254088850219
"1988",5.64454404761905,7.972,14.006,0.740401377770271
"1989",11.3225178571429,8.288,14.578,0.728707311067029
"1990",9.08970833333333,8.339,13.987,0.765530857673526
"1991",9.10343055555555,3.116,11.116,0.827108017175482
"1992",11.9408678571429,4.723,10.932,0.816862803585067
"1993",17.5049130952381,8.367,15.986,0.750720421912408
"1994",21.4191916666667,7.249,18.116,0.775057917728183
"1995",22.6980035714286,3.645,15.933,0.790165501115248
"1996",23.6406964285714,5.534,15.701,0.771602513381597
"1997",22.9077380952381,8.096,17.713,0.723144387335198
"1998",28.5337091269841,9.637,19.255,0.711392820391845
"1999",27.3331077922078,7.62,17.612,0.747578677662044
"2000",31.7503275613276,11.113,23.761,0.642236941097277
"2001",26.8437,9.314,21.081,0.664107132664443
"2002",30.1549844877345,8.542,21.575,0.712837287315577
"2003",29.3635577561328,5.412,21.854,0.727138043949418
"2004",28.7269468253968,8.064,17.737,0.71114994943781
"2005",30.0451658730159,7.069,21.127,0.734338919341705
"2006",23.3954344155844,9.344,18.788,0.73671986271671
"2007",26.8115761904762,11.837,25.106,0.6778607613831
"2008",25.8749666666667,4.947,17.115,0.767279121722779
"2009",26.065605952381,13.913,24.459,0.567223806378986
"2010",35.6298930735931,8.353,21.253,0.747638428943697
"2011",31.3059837606838,9.656,26.507,0.678747358077763
"2012",34.6070623015873,14.103,25.278,0.591961622753957
"2013",33.1526761904762,16.996,26.015,0.515248146135017
"2014",29.8894066738817,8.87,21.441,0.659052522950323
"2015",35.5738396825397,11.453,22.355,0.656236662305755
"2016",34.2797968975469,6.696,22.962,0.67803177106825
"2017",32.4712714285714,5.712,20.696,0.728117177095759
"2018",17.6128214285714,4.447,16.304,0.580339705348281
"2019",24.5683111111111,5.995,18.347,0.715865479122859
"2020",29.5208047619048,10.483,22.991,0.637822061641972
