"lengths","lf.1970","lf.1977","lf.1984","lf.1991","lf.1998","lf.2005"
4,0,0,0,0,0,0.00992282249173098
7,0.04,0,0.032967032967033,0.0734463276836158,0.0582822085889571,0.0606394707828004
10,0.16,0.117647058823529,0.0989010989010989,0.327683615819209,0.302147239263804,0.293274531422271
13,0.36,0.382352941176471,0.472527472527473,0.524011299435028,0.570552147239264,0.54244762954796
16,0.24,0.323529411764706,0.186813186813187,0.0550847457627119,0.0690184049079755,0.0937155457552371
19,0.04,0.0588235294117647,0.0659340659340659,0.00564971751412429,0,0
22,0.16,0.117647058823529,0.142857142857143,0.0141242937853107,0,0
