"year","area.occupied","D75","D95","Gini"
"1970",8.3165880952381,2.252,12.391,0.849959358208674
"1971",6.17166666666667,3.077,6.466,0.856534667357203
"1972",6.57787142857143,5.187,8.559,0.810601945294134
"1973",10.6744166666667,5.99,9.918,0.788917679863404
"1974",9.43857380952381,7.076,13.533,0.760402183565525
"1975",12.1336666666667,4.339,10.573,0.842055251047069
"1976",9.27956666666667,6.677,16.283,0.750921662850273
"1977",8.89634761904762,5.351,11.118,0.823805862612937
"1978",8.95193095238095,1.449,9.066,0.89861432406273
"1979",6.5180119047619,3.229,7.487,0.876201203835446
"1980",7.26224761904762,6.665,10.967,0.767362718871307
"1981",8.19339523809524,7.954,10.893,0.750257135460612
"1982",11.4270357142857,11.391,24.259,0.654560601602097
"1983",6.40265476190476,4.353,10.257,0.854833122874921
"1984",8.80479761904762,5.38,11.106,0.823301692898767
"1985",9.46840476190476,5.184,12.986,0.814621230685622
"1986",10.4733119047619,4.365,12.538,0.837966865649399
"1987",6.15192142857143,8.562,14.348,0.7448059357913
"1988",9.06037619047619,5.279,11.004,0.838520403051715
"1989",9.34931666666666,6.372,11.598,0.787786497051694
"1990",10.562025,4.678,12.425,0.809327785087066
"1991",10.7033079365079,6.135,12.581,0.788123267586071
"1992",12.8572952380952,4.396,13.421,0.799490110774865
"1993",10.2800079365079,6.579,12.901,0.816563058386825
"1994",12.0968464285714,6.631,14.088,0.765092256492608
"1995",16.9417154761905,4.514,17.174,0.804936051652933
"1996",16.2344988095238,6.882,17.46,0.775475401177824
"1997",15.2315132783883,2.929,13.209,0.842699315595666
"1998",17.2370825396825,6.954,17.786,0.765148587280251
"1999",18.2453814935065,5.351,18.282,0.791495000836133
"2000",18.8795294372294,7.064,15.812,0.796253075096889
"2001",14.0223884199134,7.157,16.068,0.753176569829851
"2002",14.8750761904762,7.229,16.511,0.725039403485763
"2003",16.0988858225108,7.868,18.826,0.756721706677517
"2004",15.9342630952381,5.276,21.901,0.758699808113287
"2005",17.0985654761905,0.499,10.894,0.91598260553919
"2006",16.3588111471861,3.671,17.683,0.824835499314037
"2007",17.4109678571429,8.474,15.157,0.751516183566949
"2008",14.7240833333333,9.52,16.405,0.72675640399379
"2009",14.7868714285714,5.777,14.331,0.800815292201301
"2010",15.3782511904762,6.591,15.696,0.772149039732887
"2011",14.2182103174603,7.336,16.202,0.761947055050242
"2012",14.1279968253968,8.767,14.26,0.734110241653992
"2013",15.3697731601732,6.212,16.426,0.772608097478535
"2014",14.6950350649351,7.895,18.974,0.71412925447255
"2015",16.2172912698413,7.996,16.643,0.754367915262538
"2016",14.9767166666667,8.255,17.521,0.735784343054262
"2017",14.8674047619048,7.962,16.973,0.724095189341403
"2018",4.25143333333333,1.185,4.302,0.87094914640921
"2019",13.983053968254,11.774,19.289,0.680377792489774
"2020",16.718475,4.952,20.723,0.753279679290473
