"MISSION","SETNO","STRAT","YEAR","MONTH","DAY","SCIEN","FSHNO","FLEN","CLEN","FWT","pred.wgt","condition"
"ATC1970175",2,"493",1970,7,6,"ANARHICHAS LUPUS",1,58,1,1925,1777.14322166069,1.08319913473329
"ATC1970175",9,"490",1970,7,8,"ANARHICHAS LUPUS",2,102,1,11600,10097.3760929451,1.14881330488469
"ATC1970175",9,"490",1970,7,8,"ANARHICHAS LUPUS",3,84,1,5700,5555.48223495106,1.02601354102795
"ATC1970175",24,"480",1970,7,10,"ANARHICHAS LUPUS",4,86,1,10500,5972.68953552432,1.75800197508144
"ATC1970175",26,"480",1970,7,10,"ANARHICHAS LUPUS",5,73,1,4500,3606.91691258927,1.24760289994305
"ATC1970175",27,"480",1970,7,10,"ANARHICHAS LUPUS",6,88,1,8500,6410.54726541835,1.3259398375944
"ATC1970175",29,"481",1970,7,11,"ANARHICHAS LUPUS",7,92,1,8500,7350.28635957427,1.15641753044467
"ATC1970175",36,"475",1970,7,12,"ANARHICHAS LUPUS",8,77,1,5000,4250.42431669797,1.17635314205156
"ATC1970175",36,"475",1970,7,12,"ANARHICHAS LUPUS",9,41,1,575,611.131001404131,0.940878467429869
"ATC1970175",36,"475",1970,7,12,"ANARHICHAS LUPUS",10,36,1,400,409.562464077034,0.976652000816082
"ATC1970175",36,"475",1970,7,12,"ANARHICHAS LUPUS",11,37,1,400,445.593132645177,0.897679902797149
"ATC1970175",36,"475",1970,7,12,"ANARHICHAS LUPUS",12,31,1,260,258.507470445219,1.00577364186888
"ATC1970175",36,"475",1970,7,12,"ANARHICHAS LUPUS",13,31,1,250,258.507470445219,0.96709004025854
"ATC1970175",36,"475",1970,7,12,"ANARHICHAS LUPUS",14,20,1,75,67.1044894491327,1.11765994519416
"ATC1970175",36,"475",1970,7,12,"ANARHICHAS LUPUS",15,22,1,90,89.9771607545603,1.00025383380903
"ATC1970175",36,"475",1970,7,12,"ANARHICHAS LUPUS",16,18,1,60,48.5220047827096,1.23655236976895
"ATC1970175",39,"474",1970,7,12,"ANARHICHAS LUPUS",17,75,1,4600,3919.76090368439,1.17354096666361
"ATC1970175",39,"474",1970,7,12,"ANARHICHAS LUPUS",18,71,1,4700,3311.38092992173,1.41934742618425
"ATC1970175",39,"474",1970,7,12,"ANARHICHAS LUPUS",19,66,1,3500,2644.91720976987,1.32329283770078
"ATC1970175",42,"476",1970,7,12,"ANARHICHAS LUPUS",20,73,1,3150,3606.91691258927,0.873322029960133
"ATC1970175",42,"476",1970,7,12,"ANARHICHAS LUPUS",21,28,1,150,188.99136663971,0.793687048604488
"ATC1970175",45,"473",1970,7,13,"ANARHICHAS LUPUS",22,89,1,6500,6637.38183637395,0.979301803066222
"ATC1970175",46,"473",1970,7,13,"ANARHICHAS LUPUS",23,61,1,2125,2075.49911523103,1.02385011123624
"ATC1970175",47,"472",1970,7,13,"ANARHICHAS LUPUS",24,39,1,450,523.95754044043,0.858848218162368
"ATC1970175",60,"464",1970,7,15,"ANARHICHAS LUPUS",25,40,1,550,566.412706410094,0.971023414156583
"ATC1970175",60,"464",1970,7,15,"ANARHICHAS LUPUS",26,79,1,4600,4599.41962162797,1.00012618513199
"ATC1970175",64,"465",1970,7,15,"ANARHICHAS LUPUS",27,62,1,2800,2181.99880759239,1.28322709905122
"ATC1970176",7,"456",1970,7,21,"ANARHICHAS LUPUS",1,106,1,15750,11366.2753646571,1.38567820105555
"ATC1970176",9,"459",1970,7,21,"ANARHICHAS LUPUS",2,65,1,2600,2523.52331591905,1.03030551911231
"ATC1970176",9,"459",1970,7,21,"ANARHICHAS LUPUS",3,95,1,9200,8113.15621115849,1.13396066346494
"ATC1970176",11,"458",1970,7,21,"ANARHICHAS LUPUS",4,97,1,11000,8650.36236874351,1.27162302931337
"ATC1970176",11,"458",1970,7,21,"ANARHICHAS LUPUS",5,64,1,2750,2405.9477721751,1.14300070508757
"ATC1970176",13,"459",1970,7,21,"ANARHICHAS LUPUS",6,50,1,1100,1125.54066435421,0.977308092756591
"ATC1970176",13,"459",1970,7,21,"ANARHICHAS LUPUS",7,53,1,1300,1346.59427066479,0.965398433901116
"ATC1970176",40,"444",1970,7,25,"ANARHICHAS LUPUS",8,62,1,2500,2181.99880759239,1.14573848129573
"ATC1970176",41,"448",1970,7,26,"ANARHICHAS LUPUS",9,51,1,1275,1196.26424305951,1.06581803092193
"ATC1970176",46,"449",1970,7,26,"ANARHICHAS LUPUS",10,66,1,2800,2644.91720976987,1.05863427016063
"ATC1970176",51,"447",1970,7,27,"ANARHICHAS LUPUS",11,62,1,2300,2181.99880759239,1.05407940279207
"ATC1970176",51,"447",1970,7,27,"ANARHICHAS LUPUS",12,56,1,1800,1595.2302497985,1.12836375828967
"ATC1970176",58,"444",1970,7,28,"ANARHICHAS LUPUS",15,63,1,2500,2292.12732757753,1.09068984515889
"ATC1970176",58,"444",1970,7,28,"ANARHICHAS LUPUS",16,62,1,2300,2181.99880759239,1.05407940279207
"ATC1970176",58,"444",1970,7,28,"ANARHICHAS LUPUS",17,53,1,1050,1346.59427066479,0.779744888920132
"ATC1970176",58,"444",1970,7,28,"ANARHICHAS LUPUS",18,50,1,1150,1125.54066435421,1.02173118788189
"ATC1970176",58,"444",1970,7,28,"ANARHICHAS LUPUS",19,46,1,925,870.808878194625,1.06223078698707
"ATC1970176",67,"441",1970,7,30,"ANARHICHAS LUPUS",20,46,1,875,870.808878194625,1.00481290660939
"ATC1970176",67,"441",1970,7,30,"ANARHICHAS LUPUS",21,52,1,1300,1269.92805886653,1.02368003519846
"ATC1970176",67,"441",1970,7,30,"ANARHICHAS LUPUS",22,47,1,1000,930.391186073029,1.07481671684872
"ATC1970176",72,"440",1970,7,30,"ANARHICHAS LUPUS",23,65,1,2500,2523.52331591905,0.990678383761838
"ATC1970176",72,"440",1970,7,30,"ANARHICHAS LUPUS",24,56,1,1450,1595.2302497985,0.90895969417779
"ATC1970176",72,"440",1970,7,30,"ANARHICHAS LUPUS",25,41,1,600,611.131001404131,0.981786226883341
"ATC1970176",73,"441",1970,7,30,"ANARHICHAS LUPUS",26,56,1,1700,1595.2302497985,1.06567688282913
"ATC1970176",73,"441",1970,7,30,"ANARHICHAS LUPUS",27,57,1,1750,1684.52946195959,1.03886577202648
"ATC1970176",73,"441",1970,7,30,"ANARHICHAS LUPUS",28,38,1,475,483.704607583611,0.982004290537783
"ATC1970176",73,"441",1970,7,30,"ANARHICHAS LUPUS",29,39,1,450,523.95754044043,0.858848218162368
"ATC1970176",73,"441",1970,7,30,"ANARHICHAS LUPUS",30,41,1,550,611.131001404131,0.899970707976396
"ATC1970176",73,"441",1970,7,30,"ANARHICHAS LUPUS",31,48,1,1000,992.666055636378,1.0073881284869
"ATC1970176",73,"441",1970,7,30,"ANARHICHAS LUPUS",NA,16,1,NA,33.7694022836205,NA
"ATC1971188",8,"490",1971,6,30,"ANARHICHAS LUPUS",1,82,1,7500,5158.40843612735,1.4539368281645
"ATC1971188",21,"480",1971,7,2,"ANARHICHAS LUPUS",2,80,1,5500,4780.9521630591,1.15039845880424
"ATC1971188",21,"480",1971,7,2,"ANARHICHAS LUPUS",3,74,1,3900,3761.14346880809,1.036918701013
"ATC1971188",21,"480",1971,7,2,"ANARHICHAS LUPUS",4,79,1,5000,4599.41962162797,1.08709367949129
"ATC1971188",21,"480",1971,7,2,"ANARHICHAS LUPUS",5,92,1,7900,7350.28635957427,1.0747880577074
"ATC1971188",22,"480",1971,7,3,"ANARHICHAS LUPUS",6,86,1,6200,5972.68953552432,1.03805830909571
"ATC1971188",23,"480",1971,7,3,"ANARHICHAS LUPUS",7,65,1,2800,2523.52331591905,1.10955978981326
"ATC1971188",24,"480",1971,7,3,"ANARHICHAS LUPUS",8,83,1,4900,5354.46091886869,0.915124804204434
"ATC1971188",24,"480",1971,7,3,"ANARHICHAS LUPUS",9,87,1,6000,6189.00475222732,0.969461204217157
"ATC1971188",24,"480",1971,7,3,"ANARHICHAS LUPUS",10,91,1,8000,7107.18648093191,1.12562123161724
"ATC1971188",29,"481",1971,7,5,"ANARHICHAS LUPUS",11,18,1,NA,48.5220047827096,NA
"ATC1971188",31,"475",1971,7,6,"ANARHICHAS LUPUS",12,76,1,4000,4082.83317753499,0.979711838830261
"ATC1971188",33,"476",1971,7,6,"ANARHICHAS LUPUS",13,83,1,6000,5354.46091886869,1.12056098474012
"ATC1971188",37,"474",1971,7,6,"ANARHICHAS LUPUS",14,83,1,6500,5354.46091886869,1.2139410668018
"ATC1971188",37,"474",1971,7,6,"ANARHICHAS LUPUS",15,70,1,3200,3169.94392046028,1.00948158083988
"ATC1971188",37,"474",1971,7,6,"ANARHICHAS LUPUS",16,86,1,5800,5972.68953552432,0.97108680528308
"ATC1971188",37,"474",1971,7,6,"ANARHICHAS LUPUS",17,34,1,300,343.501576744336,0.87335843649791
"ATC1971188",38,"474",1971,7,7,"ANARHICHAS LUPUS",18,80,1,4300,4780.9521630591,0.899402431428771
"ATC1971188",38,"474",1971,7,7,"ANARHICHAS LUPUS",19,72,1,4200,3457.0173415552,1.21492014214501
"ATC1971188",38,"474",1971,7,7,"ANARHICHAS LUPUS",20,79,1,5500,4599.41962162797,1.19580304744042
"ATC1971188",38,"474",1971,7,7,"ANARHICHAS LUPUS",21,72,1,3400,3457.0173415552,0.983506781736434
"ATC1971188",38,"474",1971,7,7,"ANARHICHAS LUPUS",22,61,1,1900,2075.49911523103,0.91544245239946
"ATC1971188",38,"474",1971,7,7,"ANARHICHAS LUPUS",23,53,1,1100,1346.59427066479,0.816875597916329
"ATC1971188",38,"474",1971,7,7,"ANARHICHAS LUPUS",24,41,1,500,611.131001404131,0.818155189069451
"ATC1971188",38,"474",1971,7,7,"ANARHICHAS LUPUS",25,40,1,400,566.412706410094,0.706198846659333
"ATC1971188",43,"473",1971,7,7,"ANARHICHAS LUPUS",26,47,1,850,930.391186073029,0.913594209321413
