"temperature","cum.catch","cum"
-1,0,0
-0.9,0,0
-0.8,0,0
-0.7,0,0.00890101292552528
-0.6,0,0.00890101292552528
-0.5,0.0116863706047996,0.013878459353479
-0.4,0.0116863706047996,0.0668206669758833
-0.3,0.0116863706047996,0.0773480729831606
-0.2,0.0808215347320776,0.129808506923104
-0.1,0.125761397658689,0.177278676976482
0,0.267894581318451,0.289926692197277
0.1,0.328439677896736,0.338640511776608
0.2,0.383149948522124,0.416061522202827
0.3,0.52366726992301,0.577289485768554
0.4,0.78268290845751,0.690941687836141
0.5,1.0691402612817,0.915565208604009
0.6,1.37139260499127,1.20035311715619
0.7,2.00619109733115,1.64275049863668
0.8,2.6839404050931,2.22435180460946
0.9,3.33834945368924,2.69678481496878
1,4.02404539792704,3.21859176098029
1.1,5.14232900112958,4.18099018315273
1.2,5.94430389501444,4.7814086034449
1.3,7.59971176838874,5.94192524573006
1.4,8.17209426211878,6.61703169248548
1.5,9.15058143829897,7.39873231277924
1.6,10.1995388065285,8.25756850073043
1.7,11.1447301761558,8.99396828888671
1.8,11.8605749901165,9.64076463169759
1.9,12.5378974137639,10.2338235080055
2,13.9734852850034,11.2618776156278
2.1,14.7329455224781,12.0442289423522
2.2,15.8796997564748,13.2145450742848
2.3,17.1647190244714,14.3280900880119
2.4,18.295083161511,15.3871671587754
2.5,19.7188232072811,16.6203804050579
2.6,21.173528313737,17.7757034504127
2.7,22.3229890264577,18.7262708327019
2.8,23.3261193261334,19.693795831416
2.9,24.3238076892827,20.5333484580619
3,25.330509103066,21.4993900733019
3.1,26.5361015340854,22.6107198877037
3.2,27.240986962203,23.548713733043
3.3,28.2786748127229,24.511783864954
3.4,28.9196667471094,25.1645427674405
3.5,30.0194163190459,26.2856334803967
3.6,30.9214033859291,27.1260302282455
3.7,32.2076531501725,28.2813780099391
3.8,33.0530794252889,29.2159348800957
3.9,33.9466401484541,29.9845001745415
4,34.9073317025744,30.9033069286013
4.1,35.7721618589822,31.7188177704219
4.2,37.0768155670908,32.8019576921562
4.3,37.8410908296855,33.6897979008544
4.4,38.8032603167978,34.4818962575074
4.5,40.1741965013062,35.7444828490525
4.6,41.0141472830791,36.4343492744903
4.7,41.8577601764499,37.3689289748707
4.8,42.5263367700025,38.0249090941207
4.9,43.7121386799128,38.9731482596519
5,45.0828455794063,40.0089059142151
5.1,45.844243586471,40.8411786451441
5.2,47.5868705302952,42.2876226438418
5.3,48.6948382981471,43.3309264425959
5.4,50.0829498807888,44.4195915993083
5.5,51.4056210123641,45.6994091251068
5.6,52.5193806152286,46.6617457159765
5.7,53.7806638685701,48.0835049328871
5.8,55.2002111034682,49.1446053464589
