"year","area.occupied","D75","D95","Gini"
"1999",5.93320833333333,2.476,7.919,0.90049138561664
"2000",6.38129404761905,4.132,9.999,0.838508181486327
"2001",8.04125833333333,3.91,9.005,0.842849949363563
"2002",10.156844047619,5.044,13.011,0.808505449115111
"2003",11.8198583333333,3.357,11.42,0.856856639128181
"2004",11.0649523809524,5.137,10.853,0.83857921166875
"2005",10.9595083333333,6.082,12.086,0.792975124864715
"2006",10.5592364718615,3.48,10.234,0.828439298570269
"2007",10.330780952381,6.098,12.605,0.809309399564904
"2008",10.6360333333333,4.773,11.543,0.83227258870782
"2009",11.3377011904762,5.276,10.758,0.793335604944427
"2010",11.598525,6.734,12.26,0.786328462855216
"2011",15.2267492063492,3.876,12.659,0.839251924788051
"2012",15.6591166666667,3.292,9.934,0.861356856015867
"2013",15.9195888528139,3.133,10.932,0.881181910392137
"2014",17.3765090909091,4.589,10.053,0.863742865788042
"2015",16.7347194444444,4.75,10.284,0.854923488582544
"2016",18.2184166666667,5.167,10.276,0.82511557823621
"2017",18.9605095238095,6.49,14.357,0.796488835029907
"2018",19.70025,2.22,9.934,0.781750848999132
"2019",19.8343849206349,7.51,14.202,0.779775456901653
"2020",18.7034214285714,5.246,15.377,0.835194022528486
