"year","n","n.var","b","b.var"
1970,0.0152346942401308,0.000118994802279131,0,0
1971,0.0785356746682123,0.00616776635213693,0,0
1972,0,0,0,0
1973,0,0,0,0
1974,0.0244392831012394,0.000304699459584089,0,0
1975,0.00376653678487873,1.41861059598919e-05,0,0
1976,0,0,0,0
1977,0,0,0,0
1978,0,0,0,0
1979,0,0,0,0
1980,0,0,0,0
1981,0,0,0,0
1982,0,0,0,0
1983,0,0,0,0
1984,0,0,0,0
1985,0,0,0,0
1986,0,0,0,0
1987,0.00559095304005437,3.12575336573484e-05,0,0
1988,0,0,0,0
1989,0.00327486487079641,1.07240661163268e-05,0,0
1990,0.0624628451298793,0.00221999715199185,0,0
1991,0,0,0,0
1992,0.305480881124969,0.0370288490945952,0,0
1993,0.096145617286877,0.00151997421216566,0,0
1994,0.121282655314158,0.00221401868533829,0,0
1995,0.209898929162392,0.00661673816421931,0.00463844142542933,3.40224480941524e-06
1996,0.0564033941445281,0.000684616182710165,0.0024797341159353,1.8518218998384e-06
1997,0.133588408396998,0.00238220939294764,0.00194199809075695,6.41767037805902e-07
1998,0.0726282040164326,0.00102673515827373,0.00111169002241727,2.16733615585014e-07
1999,0.124792546706633,0.00513115074738464,0.157899174268659,0.0243918259238429
2000,0.0274860152178733,0.00022145089919693,0.000414124142877966,1.2168052464793e-07
2001,0.0366639253578753,0.000378734061995049,0.000703481785162713,2.8104059743752e-07
2002,0.0585794169385952,0.00114175413666517,0.000590945818998847,1.8823412047312e-07
2003,0.0968695249561035,0.00255504222864736,0.00143854232808699,2.82268356415476e-07
2004,0.089214474482006,0.0028339805799575,0.00237429595330777,3.01180345393736e-06
2005,0.178017936707491,0.00530918224902854,0.00249858500704531,1.74604368177961e-06
2006,0.0566390438441229,0.000488490966276454,0.000794138711596088,1.56483881528264e-07
2007,0.0856550257453333,0.000923441816919255,0.00105994152039195,2.64443874100817e-07
2008,0.076762567495998,0.0020809757307696,0.00202455424251505,2.02346706717891e-06
2009,0.0114380819264177,6.70491384919595e-05,0.000274574272465622,7.02866344181233e-08
2010,0.157742600764139,0.00925451119692895,0.00331456110112449,3.13406895341277e-06
2011,0.101849927480546,0.00459873783416426,0.00109426990180795,8.47434726703846e-07
2012,0.053043351105867,0.0020338181712583,0.000718517122221854,2.53677672616176e-07
2013,0.135439735776256,0.00508070690156395,0.00156526323594843,7.37076661299402e-07
2014,0.108573723445979,0.00201636239507304,0.00228002143847316,8.50804174808389e-07
2015,0.126736066080326,0.00359514508822441,0.00227747341876617,1.10569178883606e-06
2016,0.189323342344719,0.0141716194919163,0.00342265570724392,5.89204180919251e-06
2017,0.0766116833328846,0.000919110358447578,0.00108365756018231,2.68795485246911e-07
2018,0,0,0,0
2019,0.161115117598805,0.00776141477833762,0.00198967329439247,8.97502604729502e-07
2020,0.0590964100573075,0.00128572459833872,0.000707278234486147,1.8562378024318e-07
