"year","area.occupied","D75","D95","Gini"
"1970",14.854,3.738,6.8,0.839989304323063
"1971",16.1951,3.738,9.485,0.834228942816505
"1972",16.1403833333333,5.187,13.422,0.794230525636086
"1973",13.6391666666667,3.738,7.439,0.840156246637736
"1974",14.5101833333333,3.868,7.439,0.850888230061539
"1975",12.259,1.616,6.142,0.863760820792553
"1976",16.63505,4.396,8.097,0.822796192570336
"1977",14.1403666666667,1.616,5.845,0.891871236959473
"1978",17.1191333333333,4.693,7.913,0.836084246039496
"1979",18.0306333333333,3.735,8.752,0.820757662650933
"1980",16.0374333333333,3.738,8.675,0.813329142121603
"1981",12.9861404761905,5.187,7.439,0.827898175637068
"1982",15.1420333333333,2.571,7.938,0.854522519673199
"1983",10.9812166666667,5.187,5.845,0.82929540733513
"1984",11.2093666666667,3.077,6.8,0.853041285924209
"1985",14.6191666666667,4.396,8.118,0.820710227113595
"1986",15.763080952381,3.077,9.972,0.827724797254555
"1987",13.1288428571429,2.122,9.796,0.863230036559095
"1988",11.6120047619048,5.845,10.178,0.800526832711418
"1989",11.4228583333333,4.526,8.596,0.826967614279146
"1990",13.1686583333333,2.122,6.648,0.872408026275207
"1991",14.5082634920635,3.077,8.596,0.851007063267096
"1992",13.3354797619048,4.526,7.938,0.837302100045564
"1993",13.032244047619,4.374,10.471,0.831815486286572
"1994",16.3297011904762,6.91,9.677,0.800293209945746
"1995",14.499530952381,3.738,8.593,0.856109286947144
"1996",16.4725892857143,4.693,10.627,0.823831974069933
"1997",13.4537216117216,1.616,7.303,0.878116791424304
"1998",13.1541849206349,4.396,9.178,0.852027862004754
"1999",15.8725130952381,1.616,6.8,0.87915103404413
"2000",15.5380496031746,5.035,8.752,0.793113967030647
"2001",14.9934916666667,4.393,9.251,0.830194442433976
"2002",15.6899845238095,5.693,16.147,0.765224741875233
"2003",15.1595920634921,5.99,11.945,0.761715390335285
"2004",15.2342837301587,1.449,8.752,0.866499501019112
"2005",14.8451488095238,5.85,14.494,0.776911327980524
"2006",15.3303892857143,3.065,8.596,0.858788046988085
"2007",17.3208261904762,3.738,14.154,0.815578927975382
"2008",15.2509166666667,3.723,8.752,0.84483097326819
"2009",15.7156293650794,5.035,7.938,0.832832965035948
"2010",15.7255405844156,5.035,8.097,0.813402597622736
"2011",18.4204297924298,4.396,10.679,0.802082838940858
"2012",17.5170142857143,3.738,12.593,0.807506289700715
"2013",14.3742170995671,2.934,7.966,0.843415458751677
"2014",15.7271551948052,3.738,7.439,0.8403860154837
"2015",15.0602428571429,4.02,12.017,0.827115399441627
"2016",13.3345647907648,2.571,11.364,0.853760714224766
"2017",13.4628261904762,5.187,8.46,0.796590515544748
"2018",1.4155,0.655,0.655,0.920847110097038
"2019",13.5371341269841,5.845,12.385,0.763966405442621
"2020",13.9206988095238,1.449,10.945,0.849958967297492
