"year","area.occupied","D75","D95","Gini"
"1970",13.3220595238095,3.734,13.515,0.816916387286489
"1971",11.83835,2.357,7.857,0.867469902121622
"1972",11.9879,3.553,15.104,0.783543445490897
"1973",8.44416666666667,1.437,6.983,0.914498504547521
"1974",8.57725,6.668,11.801,0.787485803497571
"1975",4.61233333333333,3.974,6.435,0.872751604110721
"1976",2.69525,1.288,3.718,0.935594149779795
"1977",3.699,1.854,4.039,0.911415217201978
"1978",1.88666666666667,0.811,1.395,0.960969529949739
"1979",1.4815,0.584,0.584,0.966456064011782
"1980",1.22716666666667,0.417,0.417,0.978345254711104
"1981",1.05002857142857,0.584,0.584,0.974456532533414
"1982",4.99639285714286,2.433,5.298,0.891387368314864
"1983",10.5748333333333,9.53,15.791,0.712284063373285
"1984",13.5674523809524,3.264,11.302,0.867568539178886
"1985",5.54246666666667,1.297,4.224,0.900526959802032
"1986",12.7650714285714,3.148,5.616,0.846321267756428
"1987",9.23468214285714,1.437,3.736,0.920416452445208
"1988",9.10158690476191,8.506,14.961,0.706788420461621
"1989",14.1864345238095,11.591,15.767,0.695461272124252
"1990",13.0096777777778,10.316,15.521,0.73304820751554
"1991",15.694955952381,3.116,11.649,0.803467278136118
"1992",17.182675,3.569,9.928,0.870397723854486
"1993",22.3354126984127,8.367,17.568,0.745325158998226
"1994",25.954844047619,6.533,16.156,0.781096860861605
"1995",22.6980035714286,5.761,17.411,0.785731239982252
"1996",23.6406964285714,5.534,15.701,0.761921352093926
"1997",22.9077380952381,5.797,16.178,0.821728990282738
"1998",28.5337091269841,9.637,21.819,0.679413878002305
"1999",27.3331077922078,6.183,16.315,0.789150615267132
"2000",31.7503275613276,10.475,23.106,0.641484485365247
"2001",26.8437,8.112,20.081,0.691091347021182
"2002",30.1549844877345,5.506,21.298,0.767939394298057
"2003",29.3635577561328,6.709,22.956,0.713363128884396
"2004",28.7269468253968,7.253,17.35,0.739115492374712
"2005",30.0451658730159,7.069,21.66,0.73704143076215
"2006",23.3954344155844,9.344,17.797,0.745552807795911
"2007",26.8115761904762,5.914,24.337,0.749957185765496
"2008",25.8749666666667,7.863,16.545,0.74818893804074
"2009",26.065605952381,12.748,23.645,0.598288607406801
"2010",35.6298930735931,5.97,17.929,0.757385776632574
"2011",31.3059837606838,7.268,22.086,0.724669325845932
"2012",34.6070623015873,15.745,27.485,0.561673431291763
"2013",33.1526761904762,17.58,27.77,0.490766198633249
"2014",29.8894066738817,10.02,22.441,0.661272719881895
"2015",35.5738396825397,8.872,23.378,0.630341944875599
"2016",34.2797968975469,6.696,23.882,0.642495116334675
"2017",32.4712714285714,5.712,18.997,0.740942700465606
"2018",17.6128214285714,4.447,14.454,0.577564830706875
"2019",24.5683111111111,5.995,17.402,0.717727064272877
"2020",29.5208047619048,10.483,21.813,0.624318535538366
