"temperature","cum.catch","cum"
-1,0,0
-0.9,0,0
-0.8,0,0
-0.7,0,0.00351686097762976
-0.6,0,0.00351686097762976
-0.5,0,0.0125901485089736
-0.4,0.108211233292934,0.0964916906245283
-0.3,0.108211233292934,0.105564978155872
-0.2,0.108211233292934,0.16298031692288
-0.1,0.117471202710319,0.2051976140203
0,0.303423107500599,0.319253720496961
0.1,0.324283168871592,0.386133362096682
0.2,0.542938535884347,0.514278226792818
0.3,0.670085193685722,0.66468687285233
0.4,0.830872788290742,0.768170341685619
0.5,1.08836033582088,0.968297528714455
0.6,1.42341763305861,1.27027738542847
0.7,1.70088816510539,1.70317554915314
0.8,2.21783731667315,2.3193155433149
0.9,2.71282188511613,2.73327629522349
1,3.22988938308707,3.23975066215783
1.1,3.94950534280656,4.09212742147543
1.2,4.38326367432218,4.79041328051345
1.3,5.19145832041198,5.70674759757702
1.4,5.76434318726758,6.3602329634941
1.5,6.80404881042527,7.18745961186907
1.6,7.40514056384223,8.17462812829705
1.7,8.01838423473419,8.85858375332762
1.8,8.96898154710023,9.5590806734454
1.9,9.51644391374359,10.161894108027
2,10.4547482478274,11.1215923834566
2.1,11.3939003148361,11.9353838052754
2.2,12.5368167004491,13.0516292365901
2.3,13.9853463472963,14.2719808622398
2.4,14.9106365003851,15.259528667148
2.5,16.0163978988958,16.4218544852593
2.6,16.9569185221025,17.5667940517379
2.7,17.9071207725447,18.5383510696721
2.8,19.1605254613256,19.4587998967408
2.9,20.0626991246741,20.3002457645761
3,20.9790385710249,21.276834991375
3.1,22.2322154696837,22.3517456749573
3.2,23.19288933312,23.2370769984651
3.3,24.4031476339097,24.26868313509
3.4,25.1415430546445,25.0695933503896
3.5,26.2948941144226,26.2293377035218
3.6,27.1039838417459,27.0545920450361
3.7,28.2965364215936,28.337007332466
3.8,29.4722687701653,29.342704796494
3.9,30.1609857548407,30.0903476076518
4,31.3411267053948,31.0430101111394
4.1,32.2473408999059,31.8361969668552
4.2,33.0664547328792,32.7724135421758
4.3,33.9517840709065,33.5090673863692
4.4,34.8074635917707,34.3241636564801
4.5,36.0998011767458,35.4209564186907
4.6,36.4386959532766,36.0739254995381
4.7,37.5025719498504,37.0383905911766
4.8,38.1976396716316,37.6768164892824
4.9,39.1623959315905,38.624150529795
5,40.1209586404314,39.7491150933516
5.1,40.904895490533,40.6174820085222
5.2,41.8497758053197,41.952885406874
5.3,42.8267940303779,42.9351712475432
5.4,43.9015463696673,44.0433529385381
5.5,44.9232375696827,45.2495377599349
5.6,45.5333711292658,46.0224806141751
5.7,46.9433555378311,47.4021111388241
5.8,47.8097234946644,48.3305748427968
