"year","area.occupied","D75","D95","Gini"
"1995",3.09966666666667,5.243,9.828,0.807579802203688
"1996",3.234625,3.242,11.27,0.849265686642737
"1997",2.72281428571429,2.155,6.74,0.861106412122637
"1998",2.26758214285714,6.198,10.783,0.79439495227765
"1999",1.59116666666667,3.148,4.835,0.860446173452978
"2000",2.38834761904762,3.925,5.849,0.803291388824727
"2001",3.11283333333333,2.268,9.341,0.876267442806429
"2002",4.79427893217893,6.362,13.686,0.797838622044325
"2003",2.48256031746032,3.925,6.362,0.803958079453313
"2004",0.231,0.924,0.924,0.963063639270867
"2005",0.5985,1.478,1.478,0.935905779139785
"2008",2.80363333333333,4.959,6.277,0.855234636852673
"2009",0.691333333333333,3.148,3.148,0.8676973526869
"2012",0.609,1.437,1.437,0.934620840383968
"2013",0.2395,1.437,1.437,0.94255676367125
"2018",0.1325,0.265,0.265,0.977386184238597
"2019",0.439333333333333,1.318,1.318,0.947313719219699
