"lengths","lf.1970","lf.1977","lf.1984","lf.1991","lf.1998","lf.2005"
4,0,0,0,0,0,2.99638935083225e-05
7,0,0,0.000342377813917658,6.31951466127401e-05,0,4.49458402624837e-05
10,0.000254129606099111,0.00256449710211827,0.00158349738936917,0.00644590495449949,0.00226935902185995,0.00187274334427015
13,0.00165184243964422,0.0248243319485049,0.0136523153299666,0.0291961577350859,0.0349666543164135,0.0284207529926439
16,0.0223634053367217,0.106529209621993,0.147864418385689,0.135079625884732,0.179325676176362,0.112244745082176
19,0.0891994917407878,0.235985023336924,0.277925190447659,0.212304095045501,0.358512412004446,0.252415838914109
22,0.107623888182973,0.194132430630353,0.160960369768039,0.196062942366026,0.135976287513894,0.229538406220504
25,0.0565438373570521,0.0934502744011899,0.105024394419242,0.194483063700708,0.115135235272323,0.128739868458507
28,0.277763659466328,0.144586346617428,0.154198407943165,0.15198432760364,0.111152278621712,0.137594198990217
31,0.258068614993647,0.0975021798225368,0.0775057776256099,0.0491342264914055,0.0408021489440534,0.0651714683806014
34,0.0918678526048285,0.0525209006513823,0.0368912094496277,0.014598078867543,0.0139403482771397,0.0221433173026503
37,0.042566709021601,0.0236959532235729,0.0124967902079945,0.00467644084934277,0.00338088180807707,0.00850974575636358
40,0.0172808132147395,0.011642816843617,0.00436531712745014,0.00246461071789687,0.00199147832530567,0.00456949376001918
43,0.0106734434561626,0.0056418936246602,0.00303860309851922,0.0015798786653185,0.00111152278621712,0.00254693094820741
46,0.00762388818297332,0.00256449710211827,0.001754686296328,0.00139029322548028,0.000602074842534272,0.00182779750400767
49,0.00724269377382465,0.00184643791352516,0.000813147308054438,0.000252780586450961,0.000416821044831419,0.00143826688839948
52,0.00355781448538755,0.0013335384931015,0.000684755627835316,0.00015798786653185,0.000185253797702853,0.00113862795331625
55,0.00177890724269377,0.000718059188593117,0.00047076949413678,6.31951466127401e-05,0.000185253797702853,0.000958844592266319
58,0.00254129606099111,0.000153869826127096,0.000256783360438244,0,4.63134494257132e-05,0.000389530615608192
61,0.000508259212198221,0.000256449710211827,4.27972267397073e-05,3.15975733063701e-05,0,0.000344584775345708
64,0.000762388818297332,5.12899420423655e-05,4.27972267397073e-05,0,0,4.49458402624837e-05
67,0,0,4.27972267397073e-05,3.15975733063701e-05,0,1.49819467541612e-05
70,0,0,4.27972267397073e-05,0,0,0
73,0.000127064803049555,0,0,0,0,0
