"lengths","lf.1970","lf.1977","lf.1984","lf.1991","lf.1998","lf.2005"
4,0.000309119010819165,0.00474709445081028,0.000216169476869866,0.000238891543239369,0.00254545454545455,0.014027149321267
7,0.00185471406491499,0.0155508266492061,0.00216169476869866,0.102006688963211,0.0367272727272727,0.351131221719457
10,0.000309119010819165,0.000982157472581437,0.00172935581495893,0.0284280936454849,0.00472727272727273,0.0117647058823529
13,0.00123647604327666,0.00474709445081028,0.00151318633808906,0.0086000955566173,0.00181818181818182,0.00588235294117647
16,0.00370942812982998,0.00982157472581437,0.00734976221357544,0.00525561395126613,0.00509090909090909,0.00361990950226244
19,0.00556414219474498,0.0248813226387297,0.00907911802853437,0.00907787864309603,0.0130909090909091,0.00452488687782805
22,0.0166924265842349,0.0451792437387461,0.0272373540856031,0.0143334925943622,0.0374545454545455,0.0122171945701357
25,0.0293663060278207,0.0250450155508266,0.0285343709468223,0.0203057811753464,0.0498181818181818,0.0158371040723982
28,0.0191653786707883,0.0114585038467834,0.0226977950713359,0.0181557572861921,0.0392727272727273,0.0230769230769231
31,0.0182380216383308,0.00867572434113603,0.0231301340250757,0.0176779741997133,0.0327272727272727,0.0235294117647059
34,0.031839258114374,0.020952692748404,0.0356679636835279,0.0253225035833731,0.0323636363636364,0.0285067873303167
37,0.0510046367851623,0.0466524799476183,0.0533938607868569,0.0367892976588629,0.0414545454545455,0.0339366515837104
40,0.0482225656877898,0.0685873301686037,0.0789018590575011,0.0379837553750597,0.08,0.0447963800904977
43,0.0510046367851623,0.0718611884105418,0.0812797233030696,0.0463449593884376,0.0658181818181818,0.0461538461538462
46,0.0534775888717156,0.0568014404976265,0.075875486381323,0.0544672718585762,0.0618181818181818,0.051131221719457
49,0.0506955177743431,0.0443607791782616,0.0678772157371379,0.0537505972288581,0.0567272727272727,0.0457013574660633
52,0.0661514683153014,0.0463250941234245,0.0678772157371379,0.0597228858098423,0.0589090909090909,0.0425339366515837
55,0.0646058732612056,0.0550008184645605,0.0722006052745352,0.0618729096989967,0.0614545454545455,0.0375565610859728
58,0.0670788253477589,0.0554918972008512,0.0613921314310419,0.0532728141423794,0.0556363636363636,0.0389140271493213
61,0.067387944358578,0.0635128498935996,0.0523130134025076,0.0573339703774486,0.0407272727272727,0.0352941176470588
64,0.0559505409582689,0.0458340153871337,0.0425853869433636,0.0441949354992833,0.0381818181818182,0.0244343891402715
67,0.0361669242658424,0.0351939761008348,0.0270211846087332,0.0389393215480172,0.0283636363636364,0.0230769230769231
70,0.0364760432766615,0.0342118186282534,0.025724167747514,0.0344003822264692,0.028,0.020814479638009
73,0.0423493044822257,0.0289736454411524,0.0224816255944661,0.037505972288581,0.0294545454545455,0.0167420814479638
76,0.0315301391035549,0.0335570469798658,0.0149156939040208,0.0277114190157668,0.0218181818181818,0.0144796380090498
79,0.0256568778979907,0.0281551808806679,0.0162127107652399,0.0241280458671763,0.0192727272727273,0.0108597285067873
82,0.0234930448222566,0.0211163856605009,0.0118893212278426,0.0183946488294314,0.0138181818181818,0.0104072398190045
85,0.0238021638330757,0.0163692912096906,0.0127539991353221,0.0176779741997133,0.012,0.00452488687782805
88,0.0157650695517774,0.0155508266492061,0.011240812797233,0.0121834687052078,0.0116363636363636,0.00226244343891403
91,0.0142194744976816,0.0126043542314618,0.0095114569822741,0.00836120401337793,0.00472727272727273,0.00226244343891403
94,0.0123647604327666,0.0108037321983958,0.00799827064418504,0.00692785475394171,0.00327272727272727,0
97,0.00680061823802164,0.00736618104436078,0.00605274535235625,0.00501672240802676,0.00327272727272727,0
100,0.00772797527047913,0.00834833851694222,0.00626891482922611,0.00262780697563306,0.00290909090909091,0
103,0.00680061823802164,0.00376493697822884,0.00345871162991786,0.00262780697563306,0.00254545454545455,0
106,0.00247295208655332,0.00572925192339172,0.00302637267617812,0.00382226469182991,0.000363636363636364,0
109,0.00278207109737249,0.00311016532984122,0.00259403372243839,0.00143334925943622,0.000727272727272727,0
112,0.00247295208655332,0.00212800785725978,0.00302637267617812,0.00143334925943622,0.000727272727272727,0
115,0.00154559505409583,0.00180062203306597,0.0012970168612192,0.000955566172957477,0,0
118,0.00185471406491499,0.00114585038467834,0.000432338953739732,0,0,0
121,0.000618238021638331,0.000982157472581437,0.000432338953739732,0.000238891543239369,0.000727272727272727,0
124,0.000309119010819165,0.00163692912096906,0,0.000238891543239369,0,0
127,0,0.000818464560484531,0.000216169476869866,0,0,0
130,0.000309119010819165,0,0.000216169476869866,0,0,0
133,0.000309119010819165,0.000163692912096906,0.000216169476869866,0.000238891543239369,0,0
136,0,0,0,0,0,0
139,0,0,0,0,0,0
142,0.000309119010819165,0,0,0,0,0
145,0,0,0,0,0,0
148,0,0,0,0,0,0
151,0,0,0,0,0,0
154,0,0,0,0,0,0
157,0,0,0,0,0,0
