"year","n","n.var","b","b.var"
1970,0.482274649364922,0.00842503967254316,1.54666049285122,0.0983590520489589
1971,0.694964834648927,0.124455623633741,1.7679115285378,0.666221159687871
1972,0.676998538654572,0.059665702563651,2.36785256107775,0.769007318882779
1973,0.755667768113834,0.0330260694529919,2.05725816708934,0.261339149011759
1974,0.892157219581957,0.0630212133032032,2.31368947304238,0.314569446077184
1975,0.811652259566906,0.0235985434878415,2.62123452019424,0.428871915338182
1976,0.736017229626281,0.00606157442936189,2.05522517113661,0.065424158325758
1977,0.906782131023651,0.0443100025913821,2.41924211154494,0.23055056232109
1978,0.663862302371512,0.0585310697412957,1.86355373198694,0.36004797777058
1979,0.735505252901982,0.0412421113989176,1.94124978002689,0.198290964675983
1980,0.291004650054914,0.00967593485955035,0.790301642812959,0.0754004016829879
1981,0.607486572924452,0.0425163087819665,1.78326461103693,0.339718625624529
1982,0.766718291521496,0.0554780596322874,1.8552050907692,0.245836711380602
1983,0.362010038874684,0.00842504638149854,0.977894428312067,0.065996932069568
1984,0.746812509293951,0.0141356795565414,1.76703475543626,0.059934324918675
1985,0.344324516497035,0.00693686684442784,0.874064638592315,0.0795941757811884
1986,0.270547251268476,0.00683337384638676,0.797640729618287,0.0650700148611323
1987,0.655035681677616,0.0286028799697833,1.70438157171322,0.28299570103503
1988,0.549471933340935,0.0114547157065224,1.41530007386582,0.162831355488733
1989,0.328660783116464,0.0110702420992597,1.01587763501122,0.111536193430301
1990,0.29977214773177,0.00538458687221254,0.641048617603416,0.0219554386399913
1991,0.737501353680142,0.229161912591973,1.51351208211494,0.441227058195845
1992,0.171885671274959,0.00572313334444448,0.437969982435642,0.0386772365522655
1993,0.0901437336464825,0.000745116707334305,0.165987329967747,0.00349537462807493
1994,0.0833462635004186,0.000760763671340152,0.123829054584752,0.0028011242599194
1995,0.0852125259989311,0.00243392713306385,0.185097348139042,0.0125499290154665
1996,0.0834968266722269,0.000994363595868063,0.154088410222994,0.00431675842846268
1997,0.15951898653139,0.00391224420244841,0.220038340377764,0.00779272113702465
1998,0.081346563689806,0.000551729894415579,0.122341011881129,0.00106600465588401
1999,0.0835208488460477,0.000846473232329579,0.16404168143941,0.00638402767116006
2000,0.128849447170406,0.0109209873108434,0.207353205438523,0.0278026825033466
2001,0.137935881408246,0.00327958026164399,0.200482554649128,0.00566547025656163
2002,0.0750964468948347,0.00209426631266509,0.158207903043886,0.0136900058911525
2003,0.0373764253486722,0.000201205149683285,0.0346355911261356,0.000210315048030795
2004,0.0634192687314633,0.000465374064000522,0.113477470036953,0.00192666963665176
2005,0.059554101617327,0.000731457723768131,0.0838620835699973,0.00109062190854711
2006,0.0797923873296267,0.00102129533579532,0.132524040325305,0.00446984104290818
2007,0.127282664258711,0.0111729497240926,0.154722577502984,0.0117540990132195
2008,0.028302137061193,0.000378383658356963,0.0282893333648296,0.000311635244397466
2009,0.0069422236435348,4.81930815601612e-05,0.0113158245389617,0.000128044198397192
2010,0.124181013634765,0.000400574859904783,0.211977721390275,0.00195170322240397
2011,0.0297239881418421,0.000197329461679371,0.0507949451431544,0.000687471708312433
2012,0.078303909142845,0.00173141733441101,0.126870991385882,0.00249622198963577
2013,0.0181004157339303,0.00032761781420556,0.0233495362967701,0.000545188804619473
2014,0.0544391051482017,0.00133522046861909,0.0858509118369141,0.0030931119788514
2015,0.0413237471429264,0.000354335585553586,0.0721343429452137,0.00109090653337957
2016,0.0258478829121661,0.000132638653546516,0.0565898200962254,0.000689453291220309
2017,0.03519473443674,0.000264288726071447,0.0475015687242919,0.000675211770349891
2018,0.0563340357549818,0.00101173034898567,0.0936487030656698,0.00349012387026576
2019,0.0273780968267125,0.000130769577304636,0.0397625148852586,0.000399744952964999
2020,0.0192896630722934,0.000206654746629753,0.0334574633334032,0.000728036590348273
