"lengths","lf.1970","lf.1977","lf.1984","lf.1991","lf.1998","lf.2005"
4,0,0,0,0,0,0.000153539075694764
7,0,0.00049055678194751,0.00312145289443814,0.00621761658031088,0.00124727159338946,0.000230308613542146
10,0.000251635631605435,0.00588668138337013,0.018161180476731,0.0579015544041451,0.0258808855628313,0.00967296176877015
13,0.00125817815802718,0.00416973264655384,0.0124858115777526,0.0213730569948187,0.0151751377195718,0.0165054506371872
16,0.00528434826371414,0.00613195977434388,0.00993189557321226,0.0439119170984456,0.0146554412223262,0.0117457392906495
19,0.00905888273779567,0.0103016924208977,0.02894438138479,0.0457253886010363,0.0224508886810103,0.021495470597267
22,0.0150981378963261,0.0183958793230316,0.0349035187287174,0.0808290155440415,0.0505144995322732,0.0662521111622908
25,0.0317060895822849,0.0431689968113809,0.105561861520999,0.155310880829016,0.111422929009458,0.13664977736834
28,0.0686965274282838,0.0694137846455727,0.116345062429058,0.167487046632124,0.185739528115581,0.16950713956702
31,0.112229491696024,0.124356144223694,0.139330306469921,0.135621761658031,0.203928905519177,0.19530170428374
34,0.149974836436839,0.146185921020358,0.140465380249716,0.130958549222798,0.184492256522191,0.189697528020881
37,0.136889783593357,0.146676477802306,0.131384790011351,0.0827720207253886,0.107992932127637,0.114463380930447
40,0.12455963764469,0.135393671817513,0.101021566401816,0.0422279792746114,0.0516578318262135,0.0523568248119146
43,0.118772018117765,0.110620554329164,0.0780363223609535,0.0182642487046632,0.0168381665107577,0.0123598955934285
46,0.0875691997986915,0.0819229825852342,0.0354710556186152,0.00647668393782383,0.00613241866749818,0.00268693382465838
49,0.0626572722697534,0.0495462349766985,0.0227014755959137,0.00272020725388601,0.00114333229394034,0.000844464916321204
52,0.0430296930045294,0.0299239636987981,0.0133371169125993,0.00103626943005181,0.00062363579669473,7.67695378473822e-05
55,0.0186210367388022,0.0134903115035565,0.00624290578887628,0.000647668393782383,0.000103939299449122,0
58,0.00880724710619024,0.00318861908265882,0.00170261066969353,0.000518134715025907,0,0
61,0.00452944136889784,0.000735835172921266,0.000851305334846765,0,0,0
64,0.000754906894816306,0,0,0,0,0
67,0.000251635631605435,0,0,0,0,0
