"year","area.occupied","D75","D95","Gini"
"1970",8.11025,1.582,8.085,0.873272375353494
"1971",9.97978333333333,5.507,13.536,0.765709460429558
"1972",8.32508333333333,1.582,6.203,0.894894070209361
"1973",11.7832833333333,4.377,11.382,0.839095411880045
"1974",9.26126666666667,5.977,12.723,0.758530037035235
"1975",9.52533333333333,4.748,14.008,0.813446146483972
"1976",13.16635,0.92,9.19,0.892363456036796
"1977",16.9718142857143,3.06,13.247,0.851324475064349
"1978",14.5254,4.38,12.006,0.853044399591897
"1979",11.3746666666667,4.533,11.031,0.833833400194853
"1980",13.4087333333333,3.46,7.295,0.855863843065807
"1981",13.0158333333333,5.901,15.032,0.758090192891924
"1982",14.1039928571429,2.815,8.763,0.858015541093478
"1983",16.4257261904762,6.288,17.778,0.777987206874182
"1984",15.67885,5.97,15.6,0.780426360760791
"1985",21.4686833333333,5.419,16.32,0.792659487588395
"1986",20.890369047619,10.276,19.098,0.648622359574015
"1987",21.2663869047619,4.959,20.56,0.769254443196964
"1988",18.4106630952381,3.98,17.191,0.803882474840721
"1989",18.6630511904762,6.217,15.891,0.764608884018975
"1990",19.8364972222222,4.273,12.945,0.814450445012196
"1991",21.535298015873,10.36,22.554,0.676006535237967
"1992",23.104619047619,13.389,25.425,0.637392113043587
"1993",24.168278968254,9.018,20.621,0.695117110130707
"1994",21.3378488095238,10.18,21.847,0.68948054614033
"1995",21.3161738095238,9.336,17.965,0.735428521700277
"1996",21.8189761904762,2.264,9.143,0.844475246762228
"1997",21.4225205128205,11.075,21.783,0.691990762264242
"1998",16.2333130952381,9.548,20.261,0.681986158435299
"1999",19.6244519480519,6.653,19.189,0.758035535771441
"2000",20.7928558441558,5.28,15.05,0.812801388946359
"2001",22.7199011904762,7.254,18.179,0.723897865167565
"2002",19.1010138528139,8.202,17.927,0.752634710183706
"2003",15.3645241341991,2.926,10.174,0.865508514667366
"2004",12.394975,3.846,9.275,0.819528952680274
"2005",10.721525,4.555,8.7,0.856298077556091
"2006",12.6217305194805,2.264,3.846,0.870183450338782
"2007",11.3962095238095,1.876,6.316,0.895886032516234
"2008",12.3419916666667,2.926,7.114,0.863651574147381
"2009",17.3843726190476,2.264,6.952,0.854926748629646
"2010",15.7118535714286,5.204,12.971,0.790719497033937
"2011",20.1945477411477,1.232,10.17,0.890029965135006
"2012",18.9641297619048,2.264,9.272,0.880463915488191
"2013",20.0294336580087,2.763,11.422,0.851153244965524
"2014",18.0442134199134,5.962,16.243,0.753435002024258
"2015",14.8817380952381,6.644,14.579,0.775564771828712
"2016",18.9089007936508,3.513,10.808,0.826656593938551
"2017",18.0189571428571,4.888,15.369,0.773123196397219
"2018",10.4589380952381,5.19,8.639,0.670147793039588
"2019",13.7592523809524,7.837,14.025,0.749133355011854
"2020",14.2182,7.831,15.99,0.71029765938435
