"year","area.occupied","D75","D95","Gini"
"1971",0.353666666666667,2.122,2.122,0.915174288455389
"1974",0.551933333333333,2.383,2.383,0.903610628993131
"1979",0.54675,1.875,1.875,0.924568984860029
"1981",0.529,2.116,2.116,0.91541413495363
"1982",1.25183333333333,3.68,4.867,0.862254481230684
"1983",1.42341666666667,4.458,5.533,0.865471461120949
"1984",1.30283333333333,1.875,3.499,0.901618592633728
"1985",3.27040952380952,2.122,2.122,0.891502983386279
"1986",4.99703809523809,3.469,10.418,0.820198284170985
"1987",1.8992,2.116,2.116,0.888980899808447
"1988",1.355875,2.116,2.116,0.903514176851339
"1989",0.297875,2.383,2.383,0.9047409657819
"1990",2.09917777777778,4.38,5.698,0.842550335770257
"1991",2.26086666666667,3.306,6.763,0.827913708910494
"1992",0.85765,2.116,2.116,0.896213974415177
"1993",0.684933333333333,2.383,2.383,0.903169868355529
"1994",4.92659166666667,2.116,9.92,0.853809852990183
"1995",8.60440595238095,6.374,11.591,0.796681569719502
"1996",3.64325,0.955,1.959,0.946554867218913
"1997",2.1664,2.383,8.012,0.840128029064463
"1998",0.809125,1.154,1.755,0.94416791078808
"1999",2.4663,3.897,6.582,0.877015473411391
"2000",1.87399880952381,2.383,7.43,0.863243921162903
"2001",6.21048333333333,3.632,12.398,0.810604080751864
"2002",2.29006071428571,4.499,9.146,0.825334544458471
"2003",3.87477738095238,3.294,11.892,0.866126099449694
"2004",3.2865,3.365,7.117,0.855605352826632
"2005",0.614305555555556,1.875,1.875,0.920042755506413
"2006",0.935958333333333,0.955,2.433,0.914642776816643
"2007",2.05795714285714,3.148,7.009,0.830992011367937
"2008",0.2464,1.232,1.232,0.950751519027822
"2009",3.24723968253968,9.656,15.889,0.708491474996102
"2010",4.76079318181818,2.916,14.441,0.805832483655278
"2011",7.33626904761905,6.196,18.048,0.750780795122078
"2012",2.21201666666667,4.402,7.705,0.849462961880482
"2013",7.86216666666667,4.38,9.911,0.827143189492053
"2014",8.31855238095238,6.875,12.818,0.756804255184716
"2015",8.86704166666667,6.219,11.252,0.762218746413494
"2016",7.65387619047619,6.828,12.152,0.776797971027821
"2017",8.11554761904762,2.383,11.92,0.805789765302837
"2018",4.97236666666667,3.537,7.923,0.645696553515459
"2019",7.21391111111111,5.264,10.669,0.79329709632735
"2020",4.65613333333333,6.677,12.78,0.800776430485704
