"year","area.occupied","D75","D95","Gini"
"1970",3.21080952380952,2.116,2.116,0.907161178576359
"1971",0.856333333333333,2.116,2.116,0.915304688794606
"1972",1.38400952380952,2.383,2.766,0.897250960755244
"1973",4.4129,5.343,8.25,0.811125929846444
"1974",3.14220714285714,4.499,8.933,0.840950268699039
"1975",4.804,0.92,3.268,0.920506286599149
"1976",2.984,3.732,5.806,0.848248388625491
"1977",4.18938571428571,1.344,4.492,0.917654048149295
"1978",1.91578571428571,2.122,2.933,0.889959410360814
"1979",4.08604285714286,1.616,5.076,0.873026129257069
"1980",1.65514285714286,3.354,4.651,0.877047009636698
"1981",1.04757142857143,2.122,3.738,0.85140295009336
"1982",1.60566666666667,3.148,4.103,0.850511329737893
"1983",1.83197619047619,3.586,5.708,0.868828959148637
"1984",6.31330238095238,3.27,6.18,0.8734691665367
"1985",5.1322619047619,2.116,5.392,0.853920406995927
"1986",8.7203380952381,4.118,8.697,0.809547843585714
"1987",3.20128928571429,1.154,2.109,0.929904658191309
"1988",3.87892380952381,2.116,3.27,0.887739401812108
"1989",4.22190119047619,2.411,11.296,0.849022475702311
"1990",3.274025,0.955,5.95,0.902490314710239
"1991",6.92597936507936,1.154,2.109,0.935362755015407
"1992",4.46857142857143,6.621,9.15,0.792265148573842
"1993",7.77733849206349,2.158,7.648,0.866628060378162
"1994",7.03047976190476,3.387,8.442,0.856735446623443
"1995",7.51129880952381,4.499,8.496,0.799761511468403
"1996",6.00725833333333,4.238,9.769,0.804673841866994
"1997",6.60257564102564,3.365,8.861,0.850986117433581
"1998",2.41109444444444,3.615,6.32,0.862105288455529
"1999",1.67334242424242,0.601,2.984,0.950366511774099
"2000",2.71669318181818,2.122,8.35,0.869554745942412
"2001",2.69754480519481,3.077,7.945,0.885633316801834
"2002",2.77390551948052,1.297,4.975,0.919295725712181
"2003",4.30486028138528,11.595,16.954,0.66852408198369
"2004",2.154475,0.601,1.973,0.95741424279871
"2005",0.658388888888889,1.875,2.53,0.914270615111221
"2006",0.721909090909091,2.122,2.122,0.914028464069628
"2007",1.01233333333333,0.417,1.018,0.971365494877606
"2008",0.2,1,1,0.960025583626479
"2009",0.25525,0.302,0.302,0.981143195159328
"2010",2.72275,2.342,6.47,0.895120019980168
"2011",3.48884126984127,0.417,3.401,0.95781914519367
"2012",4.78438571428571,0.302,0.302,0.979292855743844
"2013",6.40033333333333,3.698,13.984,0.830388388832822
"2014",6.73828571428571,7.071,16.077,0.78885649160256
"2015",4.27538333333333,2.116,6.422,0.864624547745255
"2016",3.80119920634921,7.708,15.378,0.739104152333402
"2017",10.4942785714286,1.086,3.803,0.923572857250893
"2018",7.97635,1.154,2.498,0.851577266052944
"2019",12.0194349206349,3.965,11.758,0.827786383910239
"2020",4.57197857142857,7.595,12.752,0.786071903424551
