"year","area.occupied","D75","D95","Gini"
"1970",0.6355,0.584,0.584,0.965018894630022
"1971",0.292,0.584,0.584,0.976654940837864
"1973",0.3005,0.601,0.601,0.975975375759514
"1974",0.2085,0.417,0.417,0.983330668372242
"1975",0.386166666666667,0.417,0.417,0.976965033858151
"1976",0.5865,0.533,0.95,0.967456631414159
"1977",1.751,3.148,3.732,0.853934461066588
"1978",0.406666666666667,0.533,0.533,0.971190267102414
"1979",1.78316666666667,2.264,3.35,0.892842758654277
"1980",1.02,1.582,1.582,0.932696129195109
"1981",0.791333333333333,0.687,1.288,0.948991554496032
"1982",0.791333333333333,1.773,1.773,0.943913954365738
"1983",0.901,1.344,1.344,0.939294478614708
"1984",2.60366666666667,3.565,6.491,0.867611702409512
"1985",3.17283333333333,2.264,4.533,0.877167060961807
"1986",2.97483333333333,1.582,3.269,0.912131642068297
"1987",2.69561666666667,1.582,4.379,0.897700102479788
"1988",0.8495,1.503,1.503,0.943617176467394
"1989",0.843166666666667,0.687,1.22,0.963356079781255
"1990",2.07516666666667,2.951,4.454,0.912366327544646
"1991",2.1605,1.086,2.374,0.941645422620836
"1992",2.48358333333333,2.43,5.295,0.895249996782098
"1993",0.785333333333333,1.154,1.154,0.934809969949893
"1994",2.9335,1.582,2.87,0.917610110032018
"1995",2.45538095238095,1.582,3.672,0.899925817372831
"1996",1.93275,1.582,4.263,0.91368126800411
"1997",2.65783333333333,1.271,3.701,0.927030837967693
"1998",2.94383333333333,1.582,2.87,0.924001796690377
"1999",3.8139,1.185,3.871,0.933707365180749
"2000",1.72104166666667,0.417,2.686,0.949201204268625
"2001",2.3685,1.086,1.773,0.949001379793055
"2002",1.489875,1.086,3.545,0.935329608831673
"2003",3.22535,1.582,6.075,0.893932163741978
"2004",2.47891666666667,4.504,5.753,0.871212222182627
"2005",4.18689682539683,2.502,7.642,0.878235206879642
"2006",4.38161666666667,4.43,9.489,0.827317321223939
"2007",1.96843333333333,0.687,4.368,0.911634466071757
"2008",6.01759166666667,1.582,4.932,0.892634685149184
"2009",4.10671666666667,1.582,3.846,0.88674117328142
"2010",2.25311666666667,1.582,1.582,0.935864899267731
"2011",3.75893095238095,4.73,9.767,0.835262982022651
"2012",4.59288333333333,2.668,3.956,0.884374101939304
"2013",7.5168,4.766,10.813,0.815053363871884
"2014",7.63626666666667,5.816,9.501,0.819158859596709
"2015",4.19903095238095,3.662,8.356,0.855838908153049
"2016",5.88168095238095,2.736,10.796,0.874909391403884
"2017",4.75505238095238,4.888,9.152,0.813237038466975
"2018",7.57614285714286,7.408,11.902,0.544588136990221
"2019",4.08788888888889,2.508,8.324,0.874179858447756
"2020",4.1195619047619,1.607,8.414,0.902478912739861
