"year","area.occupied","D75","D95","Gini"
"1970",0.791,1.582,1.582,0.93676047329709
"1971",0.844,0.584,1.001,0.967638453777948
"1972",0.2085,0.417,0.417,0.983330668372242
"1973",1.66983333333333,1.582,1.999,0.926878590387912
"1974",1.53683333333333,1.582,2.583,0.924960758007919
"1975",1.66,3.846,4.447,0.859933239601205
"1976",2.26266666666667,1.619,2.637,0.929551152964863
"1977",2.41383333333333,4.118,5.706,0.880119650499314
"1978",1.903,0.533,2.802,0.960646946878048
"1979",3.08916666666667,2.951,5.551,0.874576705629295
"1980",3.00666666666667,2.269,6.408,0.865421730755801
"1981",2.67916666666667,3.749,4.969,0.893372988674478
"1982",1.398,1.582,2.87,0.914735316620116
"1983",2.981,0.417,0.417,0.962120966505896
"1984",2.99466666666667,0.95,2.532,0.933911449165065
"1985",2.392,1.582,3.846,0.8945259458802
"1986",2.80566666666667,0.533,4.152,0.948593465600368
"1987",2.09266666666667,0.533,2.716,0.940681268087258
"1988",2.33333333333333,0.533,2.036,0.949638586601333
"1989",2.84691666666667,1.773,2.89,0.932370284945005
"1990",1.6805,2.264,3.35,0.889035435534088
"1991",2.37225,2.951,4.621,0.892117260278246
"1992",4.25158333333333,4.932,5.533,0.864949590005124
"1993",0.5005,0.584,0.584,0.97345018690113
"1994",2.22641666666667,1.582,2.166,0.927209006168174
"1995",5.53874761904762,2.269,6.347,0.902488454052851
"1996",5.86175,4.864,6.135,0.859141917446106
"1997",4.13375,0.687,4.57,0.947746197656686
"1998",6.25691666666667,3.355,4.957,0.884132445413286
"1999",9.06855,3.265,8.263,0.884781224374842
"2000",5.6704880952381,0.687,2.981,0.937476410950584
"2001",5.456625,1.22,4.987,0.927550710330738
"2002",4.38996944444444,1.018,8.091,0.931213859987324
"2003",6.2928,2.532,7.135,0.875464950427055
"2004",6.40683333333333,2.115,6.483,0.880136384382825
"2005",7.7523373015873,2.532,8.519,0.882055600646795
"2006",6.44075,2.797,5.571,0.872182926277301
"2007",6.56193333333333,3.681,6.766,0.833634603028879
"2008",9.17789166666667,4.037,4.987,0.855435697221681
"2009",6.03214166666667,4.796,7.153,0.827154646796904
"2010",5.28711666666667,3.085,5.882,0.869198518536075
"2011",7.04595873015873,1.637,9.515,0.883641753020686
"2012",6.27241666666667,3.269,6.637,0.880383991425783
"2013",7.26973333333333,3.952,7.533,0.841197505731682
"2014",6.00718333333333,1.999,5.882,0.885099829380064
"2015",10.1524678571429,6.498,10.505,0.764238494580297
"2016",9.7242119047619,4.263,7.153,0.834391778235665
"2017",7.39204761904762,2.33,6.593,0.895331971610069
"2018",6.98654761904762,4.535,5.639,0.735124943656803
"2019",5.67696825396825,3.767,7.611,0.872047421028807
"2020",5.0900619047619,1.773,5.639,0.928300228015526
