"year","n","n.var","b","b.var"
1970,0.0342653010685601,0.000702503648309255,0.33142628430723,0.0954015784871075
1971,0.0048618883914295,2.36368250156699e-05,0.0291713303485769,0.000850925700564111
1972,0.0199408927993686,0.00023735660444024,0.181849698064584,0.0176822229539011
1973,0,0,0,0
1974,0.0263453448616414,0.000429962903999561,0.20036926367125,0.0289227700830739
1975,0.0104661424245838,5.86590600752896e-05,0.0781501863099115,0.00305458012455432
1976,0.00955072963829462,9.12129201844538e-05,0.0668551074680627,0.00446943308903828
1977,0.0117492986306945,0.000138044150302167,0.12924228493764,0.0167033421865622
1978,0.350923233491304,0.0486499638979091,1.13372273644879,0.659245198833966
1979,0,0,0,0
1980,0.0232929050407739,0.000306413802065845,0.154666638351455,0.0125868274386474
1981,0,0,0,0
1982,0,0,0,0
1983,0.01436025388196,0.00020621410106867,0.11488203105568,0.0131977024683949
1984,0,0,0,0
1985,0,0,0,0
1986,0,0,0,0
1987,0,0,0,0
1988,0.0123733310681164,0.000153096616786202,0.0247466621362328,0.000612386467144808
1989,0,0,0,0
1990,0,0,0,0
1991,0,0,0,0
1992,0,0,0,0
1993,0.00404833499153135,1.63882295308793e-05,0.00404833499153135,1.63882295308793e-05
1994,0.0114124311643111,7.0319072759134e-05,0.0480054774781241,0.00194493655342751
1995,0.00485440613344247,2.3564379138738e-05,0.017718582387065,0.000313936441075837
1996,0.00519779073236704,2.70160128197176e-05,0.00493790119574868,2.43819515697951e-05
1997,0.00514175282666343,1.53787569750385e-05,0.0183149785249317,0.00032116763246895
1998,0.0145877005674759,0.000123569860596765,0.0764647919972703,0.00356401391020328
1999,0.0139718488563056,6.58519491599709e-05,0.12810811380649,0.00678472159528211
2000,0.0442398429251089,0.00195713776789032,0.047631564216034,0.00226873584651365
2001,0.0418420518665126,0.000324374367700829,0.282676272617939,0.027410362717641
2002,0.020037795710306,0.000155451353595455,0.165899956325503,0.0224205859537971
2003,0.0221065036241904,0.000182756397041599,0.139506713319977,0.00807263661052964
2004,0.0389630256817132,0.000476677768999009,0.364356167883447,0.0606472929388764
2005,0.0446978293053161,0.00014031728143337,0.272111400763411,0.00715173513944099
2006,0.0294446140960509,0.000470929594080361,0.206831641255606,0.0215303883671749
2007,0.129187136294223,0.00426510038374991,0.831951443420172,0.271960129023157
2008,0.0660264390350627,0.000812087381744962,0.184508576847971,0.00678162557885779
2009,0.0668140719514185,0.000685375747382454,0.462368093775035,0.0661841385745974
2010,0.104086091935672,0.00110476789957445,0.829163864453386,0.109277614020857
2011,0.0629016522117803,0.000348924916925983,0.24487726702785,0.00708912738312829
2012,0.0798445336369751,0.000313641011588322,0.42445763063959,0.0186743246133314
2013,0.137343023114092,0.0011955982455388,0.507869154564931,0.0236521383686973
2014,0.124578376250884,0.00192361343492277,0.846845230425475,0.133130232220046
2015,0.0722007273880184,0.000391977072819978,0.402503415893891,0.0221115003403424
2016,0.149533195855224,0.00186247046403529,0.810881540378363,0.07486032172124
2017,0.121699884487167,0.000693831264382721,0.887877786620938,0.0417419915661081
2018,0.103359587615853,0.000969709713025759,0.727525564738962,0.0603531617528383
2019,0.0722909091259549,0.000625020696353586,0.389399748405056,0.0205001645073269
2020,0.0845088254510383,0.000622549015503183,0.568011112551982,0.0297501585540261
