"year","n","n.var","b","b.var"
1970,0,0,0,0
1971,0,0,0,0
1972,0,0,0,0
1973,0,0,0,0
1974,0,0,0,0
1975,0,0,0,0
1976,0,0,0,0
1977,0,0,0,0
1978,0,0,0,0
1979,0,0,0,0
1980,0,0,0,0
1981,0,0,0,0
1982,0,0,0,0
1983,0,0,0,0
1984,0,0,0,0
1985,0,0,0,0
1986,0,0,0,0
1987,0,0,0,0
1988,0,0,0,0
1989,0,0,0,0
1990,0,0,0,0
1991,0,0,0,0
1992,0,0,0,0
1993,0,0,0,0
1994,0,0,0,0
1995,0.334478294507227,0.0164252541964002,0.00129048372924311,2.56143725215556e-07
1996,0.170385996683755,0.00716334150139125,0.000926438357123601,1.24748638195006e-07
1997,0.026013463543197,0.000195698710563947,0.000134445841093587,6.07588568825349e-09
1998,0,0,0,0
1999,0.300570697608266,0.0222811448173323,0.00080368952343366,1.55928965894578e-07
2000,0.390300074263698,0.0748173564088113,0.000850000148437986,3.81074156785381e-07
2001,0.169081518021122,0.00735548827247232,0.000821825340611323,1.80631497134698e-07
2002,0.0913798066044834,0.00157790586568606,0.000258518262664972,1.24021443438624e-08
2003,0.207204466397976,0.00127187857803737,0.000677407270251435,1.94098137616926e-08
2004,0.261483685762902,0.00920578980385567,0.0010071718444244,1.18145836629431e-07
2005,0.139932638104407,0.00471097489985015,0.000464111974497532,6.55308009096551e-08
2006,0.967431179891946,0.1348827682185,0.00385449338203702,2.9480667752619e-06
2007,0.141172122350235,0.00270707730662032,0.000459314355822636,2.0327628658721e-08
2008,0.0566801326290573,0.000378679531166135,0.000111970675048771,1.59813035958053e-09
2009,0.404694130865281,0.0267594467411191,0.00202712479386912,7.80376604730466e-07
2010,0.33097532875342,0.0143091665231626,0.0011419386408514,1.76467757141322e-07
2011,0.434388944255325,0.015408357151406,0.00129882875785037,1.59201624669477e-07
2012,0.291126955549857,0.0107978997243154,0.000838741938559438,8.20885162513694e-08
2013,0.100534257941306,0.00474679659924424,0.000250636563204892,2.53093449461018e-08
2014,0.062746296014848,0.00101845463437421,0.000138070051897664,5.32798938128362e-09
2015,0.0268930342988093,0.00022180254503442,0.000107266238941599,3.68074548029267e-09
2016,0.0206882130618736,0.000242244149861402,8.98040662296623e-05,4.72111622628883e-09
2017,0.173807824876621,0.00324814844938023,0.000437419762931956,2.28123345286869e-08
2018,0,0,0,0
2019,0.510693308620099,0.0373884139397064,0.00163358268425235,3.22884952641904e-07
2020,0.282160676844504,0.0128588871984405,0.000890904149532178,1.32161133643402e-07
