"par.name","lm1.est","glm.poisson.est","glm.nb.est"
"(Intercept)",-0.645766243295029,-6.03462230814877,-5.8616882180239
"log(yearly.estimate)",0.00984454922993135,1.40812758001333,1.14097738505757
"as.factor(stratum)441",0.419364943102565,3.26179620658515,2.94344797738623
"as.factor(stratum)442",0.573979922250686,3.59237520059606,3.21557897595221
"as.factor(stratum)443",0.709225168338244,3.55539610046599,2.91367653430959
"as.factor(stratum)444",0.424477262266637,2.89484568870811,2.46651815754349
"as.factor(stratum)445",0.0772679719009198,2.48664528193516,2.44442010377497
"as.factor(stratum)447",0.218184005339326,2.45120596707987,1.28064725025745
"as.factor(stratum)448",0.461540875413039,3.20982775847289,2.21200316866383
"as.factor(stratum)449",0.209408724195994,2.93432024397245,2.68490950075937
"as.factor(stratum)450",0.262091135615574,2.11154017747829,1.26265249065976
"as.factor(stratum)454",0.101531381211554,0.543838636795601,-1.08441985629167
"as.factor(stratum)455",0.0426689367946671,1.20615224498288,0.920396079129052
"as.factor(stratum)456",0.425238204404282,3.04277097875161,1.83372590824433
"as.factor(stratum)457",0.690060467860232,3.33552312510413,2.07616827409581
"as.factor(stratum)458",0.398230733122833,3.13729048142462,2.49166810624904
"as.factor(stratum)459",0.506060386231809,3.11151585090361,2.06300397001676
"as.factor(stratum)460",0.159370433018941,2.14913310646689,1.23123577208605
"as.factor(stratum)464",0.2078566704428,1.39623087268162,0.872722531122307
"as.factor(stratum)465",0.0118956156546238,-1.44648726543402,-2.10703440084787
"as.factor(stratum)472",0.0281631501242283,0.228750533885026,-0.165652842958864
"as.factor(stratum)473",0.124245832023057,2.5485198095189,2.3743151534215
"as.factor(stratum)475",0.448358426031316,2.83922890906659,2.5433348291394
"as.factor(stratum)477",0.255207097362456,2.06637940686967,1.24158963229727
"as.factor(stratum)480",0.355039718264989,2.3386258716906,2.02399069314074
"as.factor(stratum)481",0.304195247014433,3.02328151712233,2.55719202798678
"as.factor(stratum)485",0.504727486070226,2.80740782240809,2.44498886118717
"as.factor(stratum)490",1.7057168671924,4.57069789062389,4.31739617184743
"as.factor(stratum)491",0.884721923175509,3.8110239440109,3.03218604637304
"as.factor(stratum)492",0.304423975899366,1.97792096959837,1.78751796426875
"as.factor(stratum)493",0.558844523825332,3.8338622436441,3.39313534774592
"as.factor(stratum)494",0.0634950812371129,3.04083891207594,2.88638436622502
"as.factor(stratum)495",0.516234654192409,3.10146320148625,2.82063247977865
"log(yearly.estimate):as.factor(stratum)441",0.0813462217788043,-0.804253146980315,-0.251623146841019
"log(yearly.estimate):as.factor(stratum)442",0.129389079842611,-0.813050861150855,-0.222964851423001
"log(yearly.estimate):as.factor(stratum)443",0.16879853742093,-0.494014998751516,0.625360947244724
"log(yearly.estimate):as.factor(stratum)444",0.105959361018792,-0.38996554757769,0.381376943888764
"log(yearly.estimate):as.factor(stratum)445",0.00430669617439648,-1.9089422554503,-1.94159621757636
"log(yearly.estimate):as.factor(stratum)447",0.0652665718917226,-0.20720139685635,1.90871573721758
"log(yearly.estimate):as.factor(stratum)448",0.130373343466304,0.0287396773176918,1.55827395601887
"log(yearly.estimate):as.factor(stratum)449",0.0309070400432759,-1.18943188738857,-0.795812558789216
"log(yearly.estimate):as.factor(stratum)450",0.0678965784008724,-0.0115697667274815,1.31222861133661
"log(yearly.estimate):as.factor(stratum)454",0.0353504083300865,0.452118248289594,2.77330502750965
"log(yearly.estimate):as.factor(stratum)455",0.0152879366875989,-0.553522841164871,-0.055702040308163
"log(yearly.estimate):as.factor(stratum)456",0.115360807293021,0.529274483060407,2.31298832587083
"log(yearly.estimate):as.factor(stratum)457",0.193450851423407,0.500068164283718,2.35069404411531
"log(yearly.estimate):as.factor(stratum)458",0.103835319106449,-0.556885470343863,0.551397962014982
"log(yearly.estimate):as.factor(stratum)459",0.136234579633314,0.168240876796753,1.79376972793387
"log(yearly.estimate):as.factor(stratum)460",0.0491023114956613,-0.204786471591038,1.30538271521966
"log(yearly.estimate):as.factor(stratum)464",0.0653432396684641,0.851963087739358,1.63942769334428
"log(yearly.estimate):as.factor(stratum)465",0.0122765268183382,1.45613757705299,2.23041604395357
"log(yearly.estimate):as.factor(stratum)472",0.0162734397928074,0.118465186459369,0.716763627686211
"log(yearly.estimate):as.factor(stratum)473",0.0175491382857334,-1.08931472522535,-0.846738582066053
"log(yearly.estimate):as.factor(stratum)475",0.11465235344463,0.0142720558100155,0.433629470354971
"log(yearly.estimate):as.factor(stratum)477",0.0930666879700104,0.444267104596248,1.59388675387104
"log(yearly.estimate):as.factor(stratum)480",0.111708927914766,0.493844765637787,1.01568333028203
"log(yearly.estimate):as.factor(stratum)481",0.0757620381973406,-0.564037591305999,0.205091512981997
"log(yearly.estimate):as.factor(stratum)485",0.144890991512664,0.600348295839892,1.3434122750486
"log(yearly.estimate):as.factor(stratum)490",0.43175462833168,0.76860077460826,1.19641646347901
"log(yearly.estimate):as.factor(stratum)491",0.206836949563232,0.290984154933458,1.43849254571019
"log(yearly.estimate):as.factor(stratum)492",0.0760022269435031,0.950281026206147,1.19752514751634
"log(yearly.estimate):as.factor(stratum)493",0.143570310972503,-0.164796026475728,0.721414203453255
"log(yearly.estimate):as.factor(stratum)494",0.0132494523999612,-1.96955322002137,-1.61295251901488
"log(yearly.estimate):as.factor(stratum)495",0.157215869355482,-0.0335077555587542,0.517149651207569
