"mission","setno","spec","scien","comm","totno","totwgt","totno.corr","totwgt.corr","Strata","YEAR","month","day","dmin","dmax","temperature","salinity","lon","lat","DEPTH","decade","dist"
"ATC1970175",1,23,23,"REDFISH UNSEPARATED",0,0,0,0,"492",1970,7,6,46,49,6.78,32.25,-66.7,44.8,47.5,197,2.3
"ATC1970175",2,23,23,"REDFISH UNSEPARATED",1,0,0.673076923076923,0,"493",1970,7,6,39,48,6.72,32.1,-66.2,45.06667,43.5,197,2.6
"ATC1970175",3,23,23,"REDFISH UNSEPARATED",1,0,1.16666666666667,0,"492",1970,7,7,57,60,7.13,32.39,-65.91667,44.98333,58.5,197,1.5
"ATC1970175",4,23,23,"REDFISH UNSEPARATED",0,0,0,0,"494",1970,7,7,32,32,8.69,31.26,-65.41667,45.2,32,197,2.5
"ATC1970175",6,23,23,"REDFISH UNSEPARATED",0,0,0,0,"494",1970,7,7,32,33,9.37,30.99,-65.15,45.3,32.5,197,1.7
"ATC1970175",7,23,23,"REDFISH UNSEPARATED",0,0,0,0,"495",1970,7,7,27,29,6.72,30.91,-64.88333,45.26667,28,197,1
"ATC1970175",8,23,23,"REDFISH UNSEPARATED",0,0,0,0,"495",1970,7,7,27,28,8.71,31.27,-65.11667,45.1,27.5,197,2.2
"ATC1970175",9,23,23,"REDFISH UNSEPARATED",2,0,2.33333333333333,0,"490",1970,7,8,48,52,6.81,32.39,-65.81667,44.83333,50,197,1.5
"ATC1970175",10,23,23,"REDFISH UNSEPARATED",0,0,0,0,"492",1970,7,8,97,99,6.29,33.22,-66.46667,44.71667,98,197,1.8
"ATC1970175",12,23,23,"REDFISH UNSEPARATED",29,34,31.71875,37.1875,"491",1970,7,8,102,103,6.42,33.4,-66.4,44.48333,102.5,197,1.6
"ATC1970175",13,23,23,"REDFISH UNSEPARATED",0,0,0,0,"490",1970,7,8,47,52,7.61,32.88,-66.56667,44.13333,49.5,197,1.7
"ATC1970175",14,23,23,"REDFISH UNSEPARATED",42,20,30.625,14.5833333333333,"491",1970,7,8,97,101,6.53,33.91,-66.86667,44.15,99,197,2.4
"ATC1970175",15,23,23,"REDFISH UNSEPARATED",2,1,2.1875,1.09375,"484",1970,7,8,136,139,6.9,34.14,-67.43333,44.2,137.5,197,1.6
"ATC1970175",16,23,23,"REDFISH UNSEPARATED",74,39,71.9444444444444,37.9166666666667,"484",1970,7,9,122,123,6.82,34.33,-67.45,43.75,122.5,197,1.8
"ATC1970175",17,23,23,"REDFISH UNSEPARATED",5,3,4.86111111111111,2.91666666666667,"485",1970,7,9,70,82,6.59,34.05,-67.13333,43.66667,76,197,1.8
"ATC1970175",18,23,23,"REDFISH UNSEPARATED",0,0,0,0,"485",1970,7,9,54,63,6.24,33.21,-66.53333,43.56667,58.5,197,1.9
"ATC1970175",19,23,23,"REDFISH UNSEPARATED",0,0,0,0,"481",1970,7,9,71,76,5.77,33.58,-66.61667,42.71667,73.5,197,1.8
"ATC1970175",20,23,23,"REDFISH UNSEPARATED",0,0,0,0,"482",1970,7,9,116,118,6.92,34.56,-66.83333,42.63333,117,197,1.8
"ATC1970175",21,23,23,"REDFISH UNSEPARATED",4,2,4.11764705882353,2.05882352941176,"483",1970,7,10,187,189,6.71,34.76,-67.33333,42.46667,188,197,1.7
"ATC1970175",22,23,23,"REDFISH UNSEPARATED",0,0,0,0,"483",1970,7,10,174,177,6.9,34.81,-66.7,42.48333,175.5,197,2.2
"ATC1970175",23,23,23,"REDFISH UNSEPARATED",0,0,0,0,"482",1970,7,10,135,136,7.11,34.69,-66.28333,42.45,135.5,197,1.8
"ATC1970175",24,23,23,"REDFISH UNSEPARATED",0,0,0,0,"480",1970,7,10,36,38,7.02,32.61,-66.1,42.73333,37,197,1.8
"ATC1970175",26,23,23,"REDFISH UNSEPARATED",0,0,0,0,"480",1970,7,10,45,48,5.6,32.57,-65.86667,42.6,46.5,197,2
"ATC1970175",27,23,23,"REDFISH UNSEPARATED",0,0,0,0,"480",1970,7,10,48,50,4.7,32.75,-65.85,42.56667,49,197,2.7
"ATC1970175",28,23,23,"REDFISH UNSEPARATED",0,0,0,0,"480",1970,7,11,48,50,4.82,32.63,-65.61667,42.48333,49,197,2.2
"ATC1970175",29,23,23,"REDFISH UNSEPARATED",0,0,0,0,"481",1970,7,11,54,54,4.88,32.83,-65.53333,42.53333,54,197,1.5
"ATC1970175",30,23,23,"REDFISH UNSEPARATED",0,0,0,0,"481",1970,7,11,62,64,8.25,32.5,-65.61667,42.18333,63,197,1.8
"ATC1970175",31,23,23,"REDFISH UNSEPARATED",0,0,0,0,"481",1970,7,11,62,63,5.49,33.57,-65.45,42.3,62.5,197,1.8
"ATC1970175",32,23,23,"REDFISH UNSEPARATED",0,0,0,0,"481",1970,7,11,62,64,4.36,32.92,-65.31667,42.36667,63,197,1.6
"ATC1970175",33,23,23,"REDFISH UNSEPARATED",0,0,0,0,"477",1970,7,11,64,65,5.27,33.48,-64.96667,42.56667,64.5,197,2.3
"ATC1970175",34,23,23,"REDFISH UNSEPARATED",0,0,0,0,"477",1970,7,11,67,74,9.46,34.94,-64.68333,42.53333,70.5,197,2
"ATC1970175",35,23,23,"REDFISH UNSEPARATED",306,179,334.6875,195.78125,"478",1970,7,11,186,214,6.54,35.12,-64.45,42.56667,200,197,1.6
"ATC1970175",36,23,23,"REDFISH UNSEPARATED",0,0,0,0,"475",1970,7,12,49,50,4.87,32.72,-65,42.88333,49.5,197,1.5
"ATC1970175",37,23,23,"REDFISH UNSEPARATED",0,0,0,0,"475",1970,7,12,41,42,3.28,32.27,-64.8,43.01667,41.5,197,1.6
"ATC1970175",38,23,23,"REDFISH UNSEPARATED",0,0,0,0,"476",1970,7,12,76,82,4.96,33.35,-65.21667,43.31667,79,197,2.4
"ATC1970175",39,23,23,"REDFISH UNSEPARATED",1,0,1.02941176470588,0,"474",1970,7,12,42,49,3.81,32.74,-64.75,43.3,45.5,197,1.7
"ATC1970175",41,23,23,"REDFISH UNSEPARATED",0,0,0,0,"474",1970,7,12,47,53,4.17,32.9,-64.63333,43.51667,50,197,1.8
