"year","area.occupied","D75","D95","Gini"
"1970",21.4714738095238,7.422,16.644,0.717583691724
"1971",15.6674666666667,4.422,9.827,0.828457161227317
"1972",18.5795023809524,7.762,17.081,0.734688323429636
"1973",24.42795,7.178,16.975,0.739789646390395
"1974",28.7734023809524,7.714,19.016,0.733202392854205
"1975",21.5435,7.165,17.633,0.750161089148111
"1976",22.6456,7.698,22.957,0.712199595886488
"1977",23.8743214285714,8.102,21.889,0.704150818508518
"1978",26.7237547619048,7.922,23.374,0.662986335230554
"1979",24.5401476190476,4.033,14.811,0.830014068705875
"1980",17.5447833333333,6.418,14.145,0.771792366120616
"1981",20.2919833333333,7.768,13.77,0.734094211964269
"1982",26.6824142857143,5.023,15.254,0.775888374215887
"1983",25.984980952381,10.906,17.962,0.650471634360995
"1984",27.8281333333333,11.609,20.507,0.619302409955059
"1985",27.5028404761905,9.531,19.337,0.682653013849326
"1986",32.1872976190476,9.331,24.645,0.701399992082639
"1987",28.6302964285714,10.145,20.004,0.640691788334962
"1988",20.6432226190476,4.499,12.292,0.802066887714853
"1989",24.6546202380952,11.76,21.465,0.665620526166552
"1990",22.9480833333333,8.576,17.687,0.729027266186785
"1991",25.4256924603175,7.493,16.74,0.743398894558895
"1992",17.2920642857143,8.738,14.979,0.752441284264502
"1993",23.4368170634921,8.66,19.619,0.715419454028773
"1994",29.8222285714286,13.838,26.218,0.576881271992383
"1995",27.6151523809524,14.072,25.342,0.603458516449828
"1996",30.4165416666667,9.578,21.564,0.691212130806998
"1997",29.2991372710623,11.155,22.099,0.685331362905776
"1998",27.2967920634921,9.368,25.015,0.669193071000018
"1999",31.0259846320346,11.037,24.453,0.606548211966928
"2000",33.2545472222222,13.116,26.156,0.60947660055362
"2001",28.5705704545455,14.577,25.235,0.590309552885934
"2002",28.7200537878788,15.55,24.641,0.579984879602184
"2003",28.2128779220779,10.677,20.905,0.680362439788624
"2004",25.4613178571429,4.225,13.027,0.801797252964709
"2005",23.1975833333333,5.306,17.303,0.738916936963073
"2006",30.0624893939394,4.614,17.632,0.777078616848859
"2007",29.5467726190476,13.427,24.891,0.640099101978647
"2008",26.4026583333333,6.491,17.628,0.730414796109744
"2009",29.3330630952381,4.574,15.768,0.769112279148401
"2010",33.0964911255411,4.212,20.938,0.795884142567483
"2011",32.8300081807082,13.595,26.542,0.608904561887146
"2012",36.322875,10.855,24.422,0.651564522534527
"2013",36.1277267316017,12.515,23.878,0.668989099745459
"2014",36.2424513347763,1.086,18.151,0.8351388783323
"2015",34.7401511904762,13.581,26.965,0.558185892525798
"2016",37.6735456709957,16.506,29.24,0.53418170094984
"2017",36.0862880952381,16.92,27.613,0.51826749352238
"2018",20.42175,7.721,14.469,0.435768924998684
"2019",35.473969047619,11.699,24.658,0.646481184404649
"2020",38.6386238095238,13.128,24.771,0.644233112711109
