"MISSION","SETNO","STRAT","YEAR","MONTH","DAY","SCIEN","FSHNO","FLEN","CLEN","FWT","pred.wgt","condition"
"ATC1970175",54,"465",1970,7,14,"HIPPOGLOSSUS HIPPOGLOSSUS",13,52,1,1250,1507.02117001405,0.829450856346197
"ATC1970175",54,"465",1970,7,14,"HIPPOGLOSSUS HIPPOGLOSSUS",14,47,1,1075,1087.96928079894,0.988079368574254
"ATC1970175",60,"464",1970,7,15,"HIPPOGLOSSUS HIPPOGLOSSUS",15,68,1,4500,3577.70424126458,1.25778982736969
"ATC1970175",61,"462",1970,7,15,"HIPPOGLOSSUS HIPPOGLOSSUS",16,43,1,890,816.804590006183,1.08961189847533
"ATC1970175",61,"462",1970,7,15,"HIPPOGLOSSUS HIPPOGLOSSUS",17,74,1,5000,4698.48824799355,1.06417207750497
"ATC1970175",61,"462",1970,7,15,"HIPPOGLOSSUS HIPPOGLOSSUS",NA,73,1,NA,4496.91333202745,NA
"ATC1970175",62,"463",1970,7,15,"HIPPOGLOSSUS HIPPOGLOSSUS",18,68,1,4100,3577.70424126458,1.14598628715905
"ATC1970175",62,"463",1970,7,15,"HIPPOGLOSSUS HIPPOGLOSSUS",19,48,1,1400,1164.35328954313,1.20238420123271
"ATC1970175",63,"463",1970,7,15,"HIPPOGLOSSUS HIPPOGLOSSUS",20,41,1,800,700.573818467105,1.14192106372237
"ATC1970176",4,"464",1970,7,20,"HIPPOGLOSSUS HIPPOGLOSSUS",1,37,1,550,503.234516769804,1.09292980046436
"ATC1970176",4,"464",1970,7,20,"HIPPOGLOSSUS HIPPOGLOSSUS",2,34,1,400,383.192246094671,1.04386245827421
"ATC1971189",6,"463",1971,7,12,"HIPPOGLOSSUS HIPPOGLOSSUS",1,77,1,5800,5340.50206718045,1.08604021251922
"ATC1971189",7,"463",1971,7,13,"HIPPOGLOSSUS HIPPOGLOSSUS",2,65,1,2900,3093.49941754821,0.937449667373277
"ATC1971189",8,"465",1971,7,13,"HIPPOGLOSSUS HIPPOGLOSSUS",3,67,1,3500,3410.89210816181,1.02612451200815
"ATC1971189",8,"465",1971,7,13,"HIPPOGLOSSUS HIPPOGLOSSUS",4,64,1,3000,2942.72081359183,1.01946470291834
"ATC1971189",10,"465",1971,7,13,"HIPPOGLOSSUS HIPPOGLOSSUS",5,66,1,3100,3249.52356373731,0.953986004161994
"ATC1971189",16,"453",1971,7,14,"HIPPOGLOSSUS HIPPOGLOSSUS",6,73,1,4450,4496.91333202745,0.989567659289022
"ATC1971189",47,"451",1971,7,18,"HIPPOGLOSSUS HIPPOGLOSSUS",8,62,1,2400,2656.50650463103,0.903442169562216
"ATC1971189",48,"449",1971,7,18,"HIPPOGLOSSUS HIPPOGLOSSUS",9,52,1,1500,1507.02117001405,0.995341027615437
"ATC1971189",52,"446",1971,7,19,"HIPPOGLOSSUS HIPPOGLOSSUS",10,87,1,7900,7915.66493955605,0.998021020384811
"ATC1972200",5,"463",1972,6,23,"HIPPOGLOSSUS HIPPOGLOSSUS",1,28,1,250,204.955439121006,1.21977733829449
"ATC1972200",5,"463",1972,6,23,"HIPPOGLOSSUS HIPPOGLOSSUS",2,57,1,2500,2025.91399379223,1.23401092428427
"ATC1972200",5,"463",1972,6,23,"HIPPOGLOSSUS HIPPOGLOSSUS",3,75,1,5000,4906.21013595719,1.01911656073502
"ATC1972200",6,"464",1972,6,24,"HIPPOGLOSSUS HIPPOGLOSSUS",4,35,1,450,420.717070310473,1.0696024282255
"ATC1972200",6,"464",1972,6,24,"HIPPOGLOSSUS HIPPOGLOSSUS",5,17,1,50,41.0420447206048,1.21826288968731
"ATC1972200",13,"466",1972,6,24,"HIPPOGLOSSUS HIPPOGLOSSUS",6,104,1,11000,14070.4204915011,0.781781895334564
"ATC1972201",15,"454",1972,7,8,"HIPPOGLOSSUS HIPPOGLOSSUS",1,50,1,1300,1328.07532743396,0.978860139290289
"ATC1972201",22,"454",1972,7,9,"HIPPOGLOSSUS HIPPOGLOSSUS",2,32,1,375,315.181949693867,1.18978894687413
"ATC1972201",22,"454",1972,7,9,"HIPPOGLOSSUS HIPPOGLOSSUS",3,83,1,7300,6801.54714977394,1.0732852157384
"ATC1972201",23,"452",1972,7,9,"HIPPOGLOSSUS HIPPOGLOSSUS",4,70,1,3600,3928.05768426306,0.916483486080831
"ATC1972201",25,"451",1972,7,9,"HIPPOGLOSSUS HIPPOGLOSSUS",5,81,1,6700,6287.34601162685,1.0656324604388
"ATC1972201",25,"451",1972,7,9,"HIPPOGLOSSUS HIPPOGLOSSUS",6,79,1,6000,5800.60661387051,1.03437457483373
"ATC1972201",42,"450",1972,7,11,"HIPPOGLOSSUS HIPPOGLOSSUS",7,79,1,6000,5800.60661387051,1.03437457483373
"ATC1972201",50,"455",1972,7,12,"HIPPOGLOSSUS HIPPOGLOSSUS",8,36,1,490,460.70241410878,1.0635932979598
"ATC1973213",7,"458",1973,7,24,"HIPPOGLOSSUS HIPPOGLOSSUS",1,27,1,200,182.287211512014,1.09716967164654
"ATC1973213",7,"458",1973,7,24,"HIPPOGLOSSUS HIPPOGLOSSUS",2,52,1,1500,1507.02117001405,0.995341027615437
"ATC1973213",12,"456",1973,7,25,"HIPPOGLOSSUS HIPPOGLOSSUS",3,79,1,5500,5800.60661387051,0.948176693597581
"ATC1973213",16,"456",1973,7,25,"HIPPOGLOSSUS HIPPOGLOSSUS",4,60,1,2300,2390.09663214515,0.962304188486183
"ATC1973213",17,"464",1973,7,25,"HIPPOGLOSSUS HIPPOGLOSSUS",5,65,1,3000,3093.49941754821,0.969775517972356
"ATC1973213",18,"464",1973,7,26,"HIPPOGLOSSUS HIPPOGLOSSUS",6,47,1,1175,1087.96928079894,1.07999372844163
"ATC1973213",22,"463",1973,7,26,"HIPPOGLOSSUS HIPPOGLOSSUS",7,40,1,675,646.981739341193,1.04330610735218
"ATC1973213",27,"455",1973,7,27,"HIPPOGLOSSUS HIPPOGLOSSUS",8,30,1,275,255.992791771766,1.07424899778108
"ATC1973213",27,"455",1973,7,27,"HIPPOGLOSSUS HIPPOGLOSSUS",9,57,1,2100,2025.91399379223,1.03656917639879
"ATC1973213",29,"453",1973,7,27,"HIPPOGLOSSUS HIPPOGLOSSUS",10,83,1,6900,6801.54714977394,1.01447506693081
"ATC1973213",31,"454",1973,7,27,"HIPPOGLOSSUS HIPPOGLOSSUS",11,47,1,1100,1087.96928079894,1.0110579585411
"ATC1973213",31,"454",1973,7,27,"HIPPOGLOSSUS HIPPOGLOSSUS",12,32,1,300,315.181949693867,0.951831157499301
"ATC1973213",36,"453",1973,7,28,"HIPPOGLOSSUS HIPPOGLOSSUS",13,43,1,750,816.804590006183,0.918212273996064
"ATC1973213",36,"453",1973,7,28,"HIPPOGLOSSUS HIPPOGLOSSUS",14,61,1,2700,2520.87479630981,1.07105676329201
"ATC1973213",39,"451",1973,7,28,"HIPPOGLOSSUS HIPPOGLOSSUS",15,71,1,4000,4111.79901277577,0.972810195141251
"ATC1973213",39,"451",1973,7,28,"HIPPOGLOSSUS HIPPOGLOSSUS",16,77,1,5300,5340.50206718045,0.992416056267565
"ATC1973213",39,"451",1973,7,28,"HIPPOGLOSSUS HIPPOGLOSSUS",17,54,1,1700,1701.93874328476,0.998860861889179
"ATC1973213",39,"451",1973,7,28,"HIPPOGLOSSUS HIPPOGLOSSUS",18,58,1,2100,2142.71280991666,0.980066012711094
"ATC1973213",43,"457",1973,7,29,"HIPPOGLOSSUS HIPPOGLOSSUS",19,41,1,700,700.573818467105,0.999180930757076
