"year","area.occupied","D75","D95","Gini"
"1970",1.3775,2.264,2.264,0.907463066542818
"1971",0.437,0.491,0.491,0.97764597030076
"1972",1.52216666666667,2.116,2.717,0.905530720364543
"1973",1.21266666666667,2.264,2.264,0.900848398434476
"1974",2.48666666666667,2.24,2.24,0.906932998260349
"1975",0.200333333333333,0.601,0.601,0.975975375759514
"1976",0.616,0.924,0.924,0.963063639270867
"1977",0.472666666666667,0.345,0.345,0.981898788009779
"1978",4.09733333333333,7.528,10.029,0.777992804534058
"1979",5.24068333333333,2.006,7.97,0.871364019448886
"1980",3.02983333333333,2.189,5.305,0.907623263929566
"1981",5.40120714285714,4.302,11.242,0.783402583753252
"1982",7.40085,14.282,21.203,0.642827633613389
"1983",4.55833333333333,4.234,5.649,0.83385441430119
"1984",0.700666666666667,0.924,1.415,0.952109014401113
"1985",0.8692,1.71,1.71,0.93539220575403
"1986",1.39766666666667,3.639,6.442,0.831794893822406
"1987",1.07741666666667,1.577,2.6,0.933351700655652
"1988",0.913333333333333,1.504,1.995,0.939147037399065
"1989",0.595333333333333,1.927,1.927,0.918939433289161
"1990",0.744833333333333,1.344,2.644,0.936743976968673
"1991",1.49066666666667,1.344,2.344,0.9340339268426
"1993",3.03597777777778,4.849,7.792,0.859866223469803
"1994",3.24180952380952,6.179,7.693,0.830723874201202
"1995",9.80770595238095,6.023,16.322,0.776775664522106
"1996",7.32629166666667,8.185,16.875,0.700669602980813
"1997",5.5041,6.025,12.683,0.782217112767868
"1998",5.69691071428571,1.415,9.246,0.881483701588093
"1999",9.77186904761905,8.8,17.419,0.708923808163794
"2000",8.42725,9.28,13.126,0.722556960686976
"2001",6.50135,5.904,14.743,0.78621642987171
"2002",6.34299603174603,8.517,15.875,0.737595155137321
"2003",5.76730317460317,7.181,11.665,0.794004214635707
"2004",5.89633253968254,9.116,17.173,0.718315197764226
"2005",7.08929761904762,8.652,14.605,0.768490362624782
"2006",7.64766666666667,1.133,10.06,0.882229434173671
"2007",8.58167380952381,7.908,14.285,0.760173277791067
"2008",3.05266666666667,5.935,9.816,0.820652378559759
"2009",5.99825912698413,7.481,16.752,0.791245401201253
"2010",4.04354166666667,3.847,9.23,0.864631039610627
"2011",7.45961996336996,11.388,23.185,0.681556235495152
"2012",5.13229444444444,5.133,11.619,0.840839860082644
"2013",5.63475,5.519,9.303,0.822758291385108
"2014",9.44862222222222,4.037,16.523,0.814619073752585
"2015",8.26585277777778,8.891,17.511,0.683497819655149
"2016",6.1104538961039,12.057,21.969,0.691209953161662
"2017",7.75873571428571,12.75,18.46,0.678269776904659
"2018",4.3317119047619,4.641,10.023,0.676127863602073
"2019",7.97683174603175,1.288,11.68,0.892425024379399
"2020",5.54254880952381,8.068,12.298,0.716148844179199
