"lengths","lf.1970","lf.1977","lf.1984","lf.1991","lf.1998","lf.2005"
4,0,0,8.38363514419852e-05,0.000411937019406811,0.00250756857588453,0.00304458277580623
7,0.00210803689064559,0.0127293767564887,0.005700871898055,0.00865067740754302,0.0112534784868964,0.0159210347702988
10,0.0098375054896794,0.00892709538766738,0.0446009389671361,0.0266385939216404,0.0212225925812666,0.0183644578897357
13,0.0194993412384717,0.0272772359067614,0.0494634473507713,0.0470065909923105,0.0324454909635791,0.0143308705179669
16,0.0462011418533158,0.0469499090758803,0.050972501676727,0.0586781398755035,0.0547078071007003,0.0291659394574049
19,0.0671936758893281,0.0355430649694164,0.0563380281690141,0.0944708897839619,0.11984342986453,0.0519906141524618
22,0.117523056653491,0.0411638287320218,0.0832494969818914,0.153194800439399,0.174123115501055,0.245234355304749
25,0.189811155028546,0.0823276574640436,0.130449362843729,0.221439033321128,0.187578361517996,0.320864118525414
28,0.157487922705314,0.174987601256406,0.180835010060362,0.197363603075796,0.188862725910523,0.186437062462428
31,0.150900307422047,0.199371796991238,0.164738430583501,0.115479677773709,0.13598972508486,0.0770066127562201
34,0.108388230127361,0.16721772193751,0.124832327297116,0.0501647748077627,0.0539433044861013,0.0294374309151201
37,0.063153271848924,0.0943957678955199,0.0518947015425889,0.0166605638960088,0.0122014617289991,0.00647701049120562
40,0.0416337285902503,0.0751363861795338,0.040073775989269,0.0064536799707067,0.00327207119048347,0.00118292706575911
43,0.0198506807202459,0.0301702760786907,0.0152582159624413,0.00265470523617722,0.00143726491544601,0.000387844939593151
46,0.00509442248572683,0.00380228136882129,0.00134138162307176,0.000732332478945441,0.000581021987095196,0.00015513797583726
49,0.00105401844532279,0,0.00016767270288397,0,3.05801045839577e-05,0
52,0.000263504611330698,0,0,0,0,0
55,0,0,0,0,0,0
58,0,0,0,0,0,0
61,0,0,0,0,0,0
