ACCEPTED_SCIENT_NAME,FAO_E_COMMON_NAME,FAO_F_COMMON_NAME,spec,nrecords,CLASS_,ORDER_,FAMILY_,type
Alosa sapidissima,American shad,Alose savoureuse,61,468,Actinopterygii,Clupeiformes,Clupeidae,I
Leptoclinus maculatus,Daubed shanny,Lompénie tachetée,623,443,Actinopterygii,Perciformes,Stichaeidae,I
Lumpenus lampretaeformis,Snakeblenny,Lompénie-serpent,622,423,Actinopterygii,Perciformes,Stichaeidae,I
Citharichthys arctifrons,Gulf Stream flounder,Plie du Gulf Stream,44,382,Actinopterygii,Pleuronectiformes,Paralichthyidae,I
Artediellus uncinatus,Arctic hookear sculpin,Hameçon neigeux,306,306,Actinopterygii,Scorpaeniformes,Cottidae,I
Leptagonus decagonus,Atlantic poacher,Agone atlantique,350,266,Actinopterygii,Scorpaeniformes,Agonidae,I
Artediellus atlanticus,Atlantic hookear sculpin,Hameçon atlantique,880,258,Actinopterygii,Scorpaeniformes,Cottidae,I
Dipturus laevis,Barndoor skate,Grande raie,200,246,Chondrichthyes,Rajiformes,Rajidae,I
Eumicrotremus spinosus,Atlantic spiny lumpsucker,Petite poule de mer atlantique,502,226,Actinopterygii,Scorpaeniformes,Cyclopteridae,I
Cyclopterus lumpus,Lumpfish,Lompe,501,216,Actinopterygii,Scorpaeniformes,Cyclopteridae,I
Arctozenus risso,White barracudina,Lussion blanc,712,196,Actinopterygii,Aulopiformes,Paralepididae,LR
Merluccius albidus,Offshore silver hake,Merlu argenté du large,19,161,Actinopterygii,Gadiformes,Merlucciidae,LR
Myctophidae,Lanternfishes,Poissons-lanternes,150,160,Actinopterygii,Myctophiformes,Myctophidae,LR
Ulvaria subbifurcata,Radiated shanny,Ulvaire deux-lignes,625,145,Actinopterygii,Perciformes,Stichaeidae,LR
Myoxocephalus scorpius,Shorthorn sculpin,Chaboisseau à épines courtes,301,131,Actinopterygii,Scorpaeniformes,Cottidae,LR
Cryptacanthodes maculatus,Wrymouth,Terrassier tacheté,630,120,Actinopterygii,Perciformes,Cryptacanthodidae,LR
Scophthalmus aquosus,Windowpane flounder,Turbot de sable,143,115,Actinopterygii,Pleuronectiformes,Scophthalmidae,LR
Doryteuthis pealeii,Longfin inshore squid,Calmar totam,4512,96,Cephalopoda,Teuthida,Loliginidae,LR
Tautogolabrus adspersus,Cunner,Tanche-tautogue,122,82,Actinopterygii,Perciformes,Labridae,LR
Chlorophthalmus agassizi,Shortnose greeneye,Éperlan du large,156,78,Actinopterygii,Aulopiformes,Chlorophthalmidae,LR
Hippoglossina oblonga,Fourspot flounder,Cardeau à quatre ocelles,142,76,Actinopterygii,Pleuronectiformes,Paralichthyidae,LR
Lycodes lavalaei,Newfoundland eelpout,Lycode du Labrador,620,72,Actinopterygii,Perciformes,Zoarcidae,LR
Lycodes reticulatus,Arctic eelpout,Lycode arctique,641,70,Actinopterygii,Perciformes,Zoarcidae,LR
Lycodes terraenovae,Newfoundland eelpout,Lycode du Labrador,619,64,Actinopterygii,Perciformes,Zoarcidae,LR
Osmerus mordax,Rainbow smelt,Éperlan arc-en-ciel,63,59,Actinopterygii,Osmeriformes,Osmeridae,LR
Maurolicus muelleri,Silvery lightfish,Brossé améthyste,158,52,Actinopterygii,Stomiiformes,Sternoptychidae,LR
Parasudis truculenta,Longnose greeneye,Oeil-vert à long nez,149,45,Actinopterygii,Aulopiformes,Chlorophthalmidae,LR
Microgadus tomcod,Atlantic tomcod,Poulamon atlantique,17,44,Actinopterygii,Gadiformes,Gadidae,LR
Agonidae,Alligatorfishes,Poissons-alligator,351,43,Actinopterygii,Scorpaeniformes,Agonidae,LR
Melanostigma atlanticum,Atlantic soft pout,Molasse atlantique,646,43,Actinopterygii,Perciformes,Zoarcidae,LR
Liparis gibbus,Variegated snailfish,Limace marbée,512,41,Actinopterygii,Scorpaeniformes,Liparidae,LR
Myoxocephalus aenaeus,Grubby,Chaboisseau bronzé,303,40,Actinopterygii,Scorpaeniformes,Cottidae,LR
Icelus spatula,Spatulate sculpin,Icèle spatulée,314,40,Actinopterygii,Scorpaeniformes,Cottidae,LR
Lycenchelys verrillii,Wolf eelpout,Lycode à tête longue,603,40,Actinopterygii,Perciformes,Zoarcidae,LR
Eumesogrammus praecisus,Fourline snakeblenny,Quatre-lignes atlantique,626,40,Actinopterygii,Perciformes,Stichaeidae,LR
Zenopsis conchifer,Silvery John dory,Saint Pierre argenté,704,39,Actinopterygii,Zeiformes,Zeidae,LR
Scomberesox saurus,Atlantic saury,Balaou atlantique,720,37,Actinopterygii,Beloniformes,Scomberesocidae,LR
Liparis atlanticus,Atlantic seasnail,Limace atlantique,503,34,Actinopterygii,Scorpaeniformes,Liparidae,LR
Chaceon quinquedens,Red deepsea crab,Crabe rouge,2532,33,Malacostraca,Decapoda,Geryonidae,SR
Centroscyllium fabricii,Black dogfish,Aiguillat noir,221,31,Chondrichthyes,Squaliformes,Etmopteridae,LR
Cottunculus microps,Polar sculpin,Cotte polaire,307,29,Actinopterygii,Scorpaeniformes,Psychrolutidae,LR
Nemichthys scolopaceus,Slender snipe eel,Avocette ruban,604,28,Actinopterygii,Anguilliformes,Nemichthyidae,LR
Liparis fabricii,Gelatinous snailfish,Limace gélatineuse,505,27,Actinopterygii,Scorpaeniformes,Liparidae,LR
Symphurus diomedeanus,Spottedfin tonguefish,Langue fil noir,816,24,Actinopterygii,Pleuronectiformes,Cynoglossidae,LR
Pholis gunnellus,Rock gunnel,Sigouine de roche,621,21,Actinopterygii,Perciformes,Pholidae,LR
Sternoptychidae,Hatchetfishes,Haches d'argent,741,21,Actinopterygii,Stomiiformes,Sternoptychidae,LR
Anarhichas minor,Spotted wolffish,Loup tacheté,51,20,Actinopterygii,Perciformes,Anarhichadidae,LR
Stomias boa,Boa dragonfish,Dragon-boa,159,20,Actinopterygii,Stomiiformes,Stomiidae,LR
Foetorepus agassizii,Spotfin dragonet,Dragonnet tacheté,637,20,Actinopterygii,Perciformes,Callionymidae,LR
Trachyrincus murrayi,Roughnose grenadier,Grenadier-scie,412,18,Actinopterygii,Gadiformes,Macrouridae,LR
Careproctus reinhardti,Sea tadpole,Petite limace de mer,520,18,Actinopterygii,Scorpaeniformes,Liparidae,LR
Dibranchus atlanticus,Atlantic batfish,Malthe atlantique,742,18,Actinopterygii,Lophiiformes,Ogcocephalidae,LR
Anarhichas denticulatus,Northern wolffish,Loup à tête large,52,17,Actinopterygii,Perciformes,Anarhichadidae,LR
Coryphaenoides rupestris,Roundnose grenadier,Grenadier de roche,414,17,Actinopterygii,Gadiformes,Macrouridae,LR
Petromyzon marinus,Sea lamprey,Lamproie marine,240,16,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,LR
Ulcina olrikii,Arctic alligatorfish,Poisson-alligator arctique,341,13,Actinopterygii,Scorpaeniformes,Agonidae,LR
