"scientificname","englishname","frenchname","speciesnumber","numberofrecords","category","ordername","familyname"
"Lumpenus lampretaeformis",NA,NA,622,NA,"Perciformes",358,"Actinopterygii"
"Lycenchelys verrillii","Wolf eelpout",NA,603,NA,"Perciformes",30,"Actinopterygii"
"Lycodes","Eelpouts","Loquettes",NA,NA,NA,NA,NA
"Lycodes lavalaei",NA,NA,620,"Lycode du Labrador","Perciformes",47,"Actinopterygii"
"Lycodes reticulatus","Arctic eelpout",NA,641,NA,"Perciformes",70,"Actinopterygii"
"Lycodes vahlii",NA,NA,647,"Lycode à carreaux","Perciformes",503,"Actinopterygii"
"Malacoraja senta",NA,NA,202,"Raie lisse","Rajiformes",1554,"Chondrichthyes"
"Mallotus villosus","Capelin","Capelan",64,"Capelan","Osmeriformes",498,"Actinopterygii"
"Maurolicus muelleri","Silvery lightfish",NA,158,NA,"Stomiiformes",26,"Actinopterygii"
"Melanogrammus aeglefinus","Haddock","Eglefin",11,"Aiglefin","Gadiformes",4662,"Actinopterygii"
"Melanostigma atlanticum","Atlantic soft pout",NA,646,NA,"Perciformes",31,"Actinopterygii"
"Merluccius albidus","Offshore silver hake","Merlu argenté du large",19,"Merlu argenté du large","Gadiformes",151,"Actinopterygii"
"Merluccius bilinearis","Silver hake","Merlu argenté",14,"Merlu argenté","Gadiformes",3814,"Actinopterygii"
"Microgadus tomcod","Atlantic tomcod","Poulamon atlantique",17,"Poulamon atlantique","Gadiformes",30,"Actinopterygii"
"Myctophidae","Lanternfishes nei","Lanternules nca",150,"Lanternules nca","Myctophiformes",119,"Actinopterygii"
"Myoxocephalus aenaeus",NA,NA,303,NA,"Scorpaeniformes",20,"Actinopterygii"
"Myoxocephalus octodecemspinosus","Longhorn sculpin",NA,300,"Chaboisseau à dix-huit épines","Scorpaeniformes",2761,"Actinopterygii"
"Myoxocephalus scorpius",NA,NA,301,NA,"Scorpaeniformes",79,"Actinopterygii"
"Myxine glutinosa","Hagfish","Myxine",241,"Myxine","Myxiniformes",586,"Myxini"
"Nemichthys scolopaceus","Slender snipe eel",NA,604,NA,"Anguilliformes",17,"Actinopterygii"
"Nezumia bairdii",NA,NA,410,"Grenadier du Grand Banc","Gadiformes",471,"Actinopterygii"
"Octopoda",NA,NA,NA,NA,NA,NA,NA
"Osmerus mordax","Rainbow smelt","Eperlan arc-en-ciel",63,"Eperlan arc-en-ciel","Osmeriformes",46,"Actinopterygii"
"Pandalus","Pandalus shrimps nei","Crevettes Pandalus nca",NA,NA,NA,NA,NA
"Pandalus borealis","Northern prawn","Crevette nordique",2211,"Crevette nordique","Decapoda",495,"Malacostraca"
"Parasudis truculenta",NA,NA,149,NA,"Aulopiformes",30,"Actinopterygii"
"Pectinidae","Scallops nei","Peignes nca",NA,NA,NA,NA,NA
"Peprilus triacanthus","Atlantic butterfish","Stromaté fossette",701,"Stromaté fossette","Perciformes",284,"Actinopterygii"
"Petromyzon marinus","Sea lamprey","Lamproie marine",240,"Lamproie marine","Petromyzontiformes",14,"Cephalaspidomorphi"
"Pholis gunnellus","Rock gunnel",NA,621,NA,"Perciformes",18,"Actinopterygii"
