350,"AGONUS DECAGONUS","Atlantic poacher",NA,"I","Scorpaeniformes","Agonidae"
880,"ARTEDIELLUS ATLANTICUS",NA,NA,"I","Scorpaeniformes","Cottidae"
44,"CITHARICHTHYS ARCTIFRONS","Gulf Stream flounder",NA,"I","Pleuronectiformes","Paralichthyidae"
501,"CYCLOPTERUS LUMPUS","Lumpfish(=Lumpsucker)","Lompe","LR","Scorpaeniformes","Cyclopteridae"
502,"EUMICROTREMUS SPINOSUS","Atlantic spiny lumpsucker","Petite poule de mer atlantique","LR","Scorpaeniformes","Cyclopteridae"
19,"MERLUCCIUS ALBIDUS","Offshore silver hake","Merlu argent\'{e} du large","LR","Gadiformes","Merlucciidae"
712,"NOTOLEPIS RISSOI KROYERI","Spotted barracudina","Barracudine pintade","LR","Aulopiformes","Paralepididae"
200,"RAJA LAEVIS","Barndoor skate","Grande raie","LR","Rajiformes","Rajidae"
150,"MYCTOPHIDAE","Lanternfishes nei","Lanternules nca","LR","Myctophiformes","Myctophidae"
625,"ULVARIA SUBBIFURCATA","Radiated shanny","Ulvaire deux lignes","LR","Perciformes","Stichaeidae"
630,"CRYPTACANTHODES MACULATUS","Wrymouth","Terrassier tachet\'{e}","LR","Perciformes","Cryptacanthodidae"
301,"MYOXOCEPHALUS SCORPIUS","Shorthorn sculpin","Chaboisseau \`{a} \'{e}pines courtes","LR","Scorpaeniformes","Cottidae"
143,"SCOPHTHALMUS AQUOSUS","Windowpane flounder","Turbot de sable","LR","Pleuronectiformes","Scophthalmidae"
641,"LYCODES RETICULATUS","Arctic eelpout","Lycode arctique","LR","Perciformes","Zoarcidae"
619,"LYCODES TERRAENOVA","Newfoundland eelpout","Lycode du Labrador","LR","Perciformes","Zoarcidae"
323,"ARTEDIELLUS SP.",NA,NA,"LR","Scorpaeniformes","Cottidae"
156,"CHLOROPHTHALMUS AGASSIZI","Shortnose greeneye","\'{E}perlan du large","LR","Aulopiformes","Chlorophthalmidae"
122,"TAUTOGOLABRUS ADSPERSUS","Cunner","Tanche-tautogue","LR","Perciformes","Labridae"
620,"LYCODES LAVALAEI",NA,NA,"LR","Perciformes","Zoarcidae"
63,"OSMERUS MORDAX","Rainbow smelt","Eperlan arc-en-ciel","LR","Osmeriformes","Osmeridae"
142,"PARALICHTHYS OBLONGUS","Fourspot flounder","Cardeau \`{a} quatre ocelles","LR","Pleuronectiformes","Paralichthyidae"
314,"ICELUS SPATULA",NA,NA,"LR","Scorpaeniformes","Cottidae"
351,"AGONIDAE F.",NA,NA,"LR","Scorpaeniformes","Agonidae"
646,"MELANOSTIGMA ATLANTICUM","Atlantic soft pout","Mollasse atlantique","LR","Perciformes","Zoarcidae"
17,"MICROGADUS TOMCOD","Atlantic tomcod","Poulamon atlantique","LR","Gadiformes","Gadidae"
149,"PARASUDIS TRUCULENTA","Longnose greeneye","Oeil-vert \`{a} long nez","LR","Aulopiformes","Chlorophthalmidae"
503,"LIPARIS ATLANTICUS",NA,NA,"LR","Scorpaeniformes","Liparidae"
603,"LYCENCHELYS VERRILLI","Wolf eelpout","Lycode \`{a} t\^{e}te longue","LR","Perciformes","Zoarcidae"
307,"COTTUNCULUS MICROPS","Polar sculpin",NA,"LR","Scorpaeniformes","Psychrolutidae"
221,"CENTROSCYLLIUM FABRICII","Black dogfish","Aiguillat noir","LR","Squaliformes","Etmopteridae"
158,"MAUROLICUS MUELLERI","Silvery lightfish",NA,"LR","Stomiiformes","Sternoptychidae"
512,"LIPARIS GIBBUS","Variegated snailfish",NA,"LR","Scorpaeniformes","Liparidae"
720,"SCOMBERESOX SAURUS","Atlantic saury","Balaou atlantique","LR","Beloniformes","Scomberesocidae"
505,"LIPARIS FABRICII",NA,NA,"LR","Scorpaeniformes","Liparidae"
704,"ZENOPSIS OCELLATA","American john dory","","LR","Zeiformes","Zeidae"
626,"EUMESOGRAMMUS PRAECISUS","Fourline snakeblenny","Quatre-lignes atlantique","LR","Perciformes","Stichaeidae"
2532,"GERYON QUINQUEDENS",NA,NA,"SR","Decapoda","Geryonidae"
51,"ANARHICHAS MINOR","Spotted wolffish","Loup tachet\'{e}","LR","Perciformes","Anarhichadidae"
303,"MYOXOCEPHALUS AENEUS",NA,NA,"LR","Scorpaeniformes","Cottidae"
412,"TRACHYRHYNCHUS MURRAYI","Roughnose grenadier","Grenadier-scie","LR","Gadiformes","Macrouridae"
621,"PHOLIS GUNNELLUS","Rock gunnel","Sigouine de roche","LR","Perciformes","Pholidae"
500,"LIPARIS SP.",NA,NA,"LR","Scorpaeniformes","Liparidae"
