"Lycodes terraenovae","Newfoundland eelpout","Lycode du Labrador",619,63,"Actinopterygii","Perciformes","Zoarcidae","LR","Actinopterygii"
"Lycodes lavalaei","Newfoundland eelpout","Lycode du Labrador",620,47,"Actinopterygii","Perciformes","Zoarcidae","LR","Actinopterygii"
"Melanostigma atlanticum","Atlantic soft pout","Molasse atlantique",646,31,"Actinopterygii","Perciformes","Zoarcidae","LR","Actinopterygii"
"Lycenchelys verrillii","Wolf eelpout","Lycode à tête longue",603,30,"Actinopterygii","Perciformes","Zoarcidae","LR","Actinopterygii"
"Symphurus diomedeanus","Spottedfin tonguefish","Langue fil noir",816,13,"Actinopterygii","Pleuronectiformes","Cynoglossidae","LR","Actinopterygii"
"Citharichthys arctifrons","Gulf Stream flounder","Plie du Gulf Stream",44,203,"Actinopterygii","Pleuronectiformes","Paralichthyidae","I","Actinopterygii"
"Hippoglossina oblonga","Fourspot flounder","Cardeau à quatre ocelles",142,46,"Actinopterygii","Pleuronectiformes","Paralichthyidae","LR","Actinopterygii"
"Hippoglossoides platessoides","American plaice","Plie canadienne",40,5311,"Actinopterygii","Pleuronectiformes","Pleuronectidae","L","Actinopterygii"
"Glyptocephalus cynoglossus","Witch flounder","Plie grise",41,3531,"Actinopterygii","Pleuronectiformes","Pleuronectidae","L","Actinopterygii"
"Limanda ferruginea","Yellowtail flounder","Limande à queue jaune",42,2766,"Actinopterygii","Pleuronectiformes","Pleuronectidae","L","Actinopterygii"
"Pseudopleuronectes americanus","Winter flounder","Limande-plie rouge",43,1294,"Actinopterygii","Pleuronectiformes","Pleuronectidae","L","Actinopterygii"
"Hippoglossus hippoglossus","Atlantic halibut","Flétan de l'Atlantique",30,1231,"Actinopterygii","Pleuronectiformes","Pleuronectidae","L","Actinopterygii"
"Reinhardtius hippoglossoides","Greenland halibut","Flétan noir",31,594,"Actinopterygii","Pleuronectiformes","Pleuronectidae","I","Actinopterygii"
"Scophthalmus aquosus","Windowpane flounder","Turbot de sable",143,75,"Actinopterygii","Pleuronectiformes","Scophthalmidae","LR","Actinopterygii"
"Aspidophoroides monopterygius","Alligatorfish","Poisson-alligator atlantique",340,862,"Actinopterygii","Scorpaeniformes","Agonidae","I","Actinopterygii"
"Leptagonus decagonus","Atlantic poacher","Agone atlantique",350,250,"Actinopterygii","Scorpaeniformes","Agonidae","I","Actinopterygii"
