"Symphurus diomedeanus","Spottedfin tonguefish","Langue fil noir",816,13,"Actinopterygii","Pleuronectiformes","Cynoglossidae","LR",159358
"Citharichthys arctifrons","Gulf Stream flounder","Plie du Gulf Stream",44,203,"Actinopterygii","Pleuronectiformes","Paralichthyidae","I",158791
"Hippoglossina oblonga","Fourspot flounder","Cardeau à quatre ocelles",142,46,"Actinopterygii","Pleuronectiformes","Paralichthyidae","LR",158833
"Hippoglossoides platessoides","American plaice","Plie canadienne",40,5311,"Actinopterygii","Pleuronectiformes","Pleuronectidae","L",127137
"Glyptocephalus cynoglossus","Witch flounder","Plie grise",41,3531,"Actinopterygii","Pleuronectiformes","Pleuronectidae","L",127136
"Limanda ferruginea","Yellowtail flounder","Limande à queue jaune",42,2766,"Actinopterygii","Pleuronectiformes","Pleuronectidae","L",158879
"Pseudopleuronectes americanus","Winter flounder","Plie rouge",43,1294,"Actinopterygii","Pleuronectiformes","Pleuronectidae","L",158885
"Hippoglossus hippoglossus","Atlantic halibut","Flétan de l'Atlantique",30,1231,"Actinopterygii","Pleuronectiformes","Pleuronectidae","L",127138
"Reinhardtius hippoglossoides","Greenland halibut","Flétan du Groënland",31,594,"Actinopterygii","Pleuronectiformes","Pleuronectidae","I",127144
"Scophthalmus aquosus","Windowpane flounder","Turbot de sable",143,75,"Actinopterygii","Pleuronectiformes","Scophthalmidae","LR",158907
"Aspidophoroides monopterygius","Alligatorfish","Poisson-alligator atlantique",340,862,"Actinopterygii","Scorpaeniformes","Agonidae","I",159459
"Leptagonus decagonus","Atlantic poacher","Agone atlantique",350,250,"Actinopterygii","Scorpaeniformes","Agonidae","I",127191
"Agonidae","Alligatorfishes","Poissons-alligator",351,32,"Actinopterygii","Scorpaeniformes","Agonidae","LR",125588
"Ulcina olrikii","Arctic alligatorfish","Poisson-alligator arctique",341,11,"Actinopterygii","Scorpaeniformes","Agonidae","LR",274356
"Myoxocephalus octodecemspinosus","Longhorn sculpin","Chaboisseau à dix-huit épines",300,2761,"Actinopterygii","Scorpaeniformes","Cottidae","L",159520
"Triglops murrayi","Moustache sculpin","Faux-trigle armé",304,1055,"Actinopterygii","Scorpaeniformes","Cottidae","L",127205
"Artediellus uncinatus","Arctic hookear sculpin","Hameçon neigeux",306,301,"Actinopterygii","Scorpaeniformes","Cottidae","I",127195
"Artediellus atlanticus","Atlantic hookear sculpin","Hameçon atlantique",880,209,"Actinopterygii","Scorpaeniformes","Cottidae","I",127193
"Myoxocephalus scorpius","Shorthorn sculpin","Chaboisseau à épines courtes",301,79,"Actinopterygii","Scorpaeniformes","Cottidae","LR",127203
"Icelus spatula","Spatulate sculpin","Icèle spatulée",314,36,"Actinopterygii","Scorpaeniformes","Cottidae","LR",127200
"Myoxocephalus aenaeus","Grubby","Chaboisseau bronzé",303,20,"Actinopterygii","Scorpaeniformes","Cottidae","LR",159519
"Cyclopterus lumpus","Lumpfish","Lompe",501,197,"Actinopterygii","Scorpaeniformes","Cyclopteridae","LR",127214
"Eumicrotremus spinosus","Atlantic spiny lumpsucker","Petite poule de mer atlantique",502,183,"Actinopterygii","Scorpaeniformes","Cyclopteridae","LR",127217
"Hemitripterus americanus","Sea raven","Hémitriptère atlantique",320,1800,"Actinopterygii","Scorpaeniformes","Hemitripteridae","L",159518
"Liparis atlanticus","Atlantic seasnail","Limace atlantique",503,30,"Actinopterygii","Scorpaeniformes","Liparidae","LR",159524
"Liparis gibbus","Variegated snailfish","Limace marbée",512,26,"Actinopterygii","Scorpaeniformes","Liparidae","LR",159526
"Liparis fabricii","Gelatinous snailfish","Limace gélatineuse",505,25,"Actinopterygii","Scorpaeniformes","Liparidae","LR",127218
"Careproctus reinhardti","Sea tadpole","Petite limace de mer",520,17,"Actinopterygii","Scorpaeniformes","Liparidae","LR",127212
"Cottunculus microps","Polar sculpin","Cotte polaire",307,28,"Actinopterygii","Scorpaeniformes","Psychrolutidae","LR",127235
"Sebastes","Redfishes","Sébastes",23,3324,"Actinopterygii","Scorpaeniformes","Scorpaenidae","L",126175
"Helicolenus dactylopterus","Blackbelly rosefish","Sébaste chèvre",123,436,"Actinopterygii","Scorpaeniformes","Scorpaenidae","I",127251
"Maurolicus muelleri","Silvery lightfish","Brossé améthyste",158,26,"Actinopterygii","Stomiiformes","Sternoptychidae","LR",127312
"Sternoptychidae","Hatchetfishes","Haches d'argent",741,14,"Actinopterygii","Stomiiformes","Sternoptychidae","LR",125603
"Stomias boa","Boa dragonfish","Dragon-boa",159,14,"Actinopterygii","Stomiiformes","Stomiidae","LR",127374
"Zenopsis conchifer","Silvery John dory","Saint Pierre argenté",704,22,"Actinopterygii","Zeiformes","Zeidae","LR",127426
"Amblyraja radiata","Thorny skate","Raie épineuse",201,3644,"Chondrichthyes","Rajiformes","Rajidae","L",105865
"Malacoraja senta","Smooth skate","Raie lisse",202,1554,"Chondrichthyes","Rajiformes","Rajidae","L",158554
"Leucoraja ocellata","Winter skate","Raie tachetée",204,1055,"Chondrichthyes","Rajiformes","Rajidae","L",158553
"Leucoraja erinacea","Little skate","Raie hérisson",203,552,"Chondrichthyes","Rajiformes","Rajidae","I",158551
"Dipturus laevis","Barndoor skate","Grande raie",200,130,"Chondrichthyes","Rajiformes","Rajidae","LR",158548
